symbol,status,days,note
AADHARHFC,ok,582,
AARTIDRUGS,ok,1804,
AARTIIND,ok,1804,
AARTIPHARM,ok,896,
AAVAS,ok,1804,
ABB,ok,1804,
ABBOTINDIA,ok,1804,
ABCAPITAL,ok,1804,
ABDL,ok,549,
ABFRL,ok,1805,
ABLBL,ok,307,
ABREL,ok,1805,
ABSLAMC,ok,1220,
ACC,ok,1804,
ACE,ok,1804,
ACI,ok,944,
ACMESOLAR,ok,457,
ACUTAAS,ok,1239,
ADANIENSOL,ok,1805,
ADANIENT,ok,1805,
ADANIGREEN,ok,1805,
ADANIPORTS,ok,1804,
ADANIPOWER,ok,1805,
ADVENZYMES,ok,1804,
AEGISLOG,ok,1803,
AEGISVOPAK,ok,323,
AEQUS,ok,191,
AETHER,ok,1060,
AFCONS,ok,464,
AFFLE,ok,1757,
AGARWALEYE,ok,398,
AHLUCONT,ok,1804,
AIAENG,ok,1802,
AIIL,ok,597,
AJANTPHARM,ok,1803,
AKUMS,ok,523,
ALIVUS,ok,1263,
ALKEM,ok,1803,
ALKYLAMINE,ok,1804,
ALOKINDS,ok,1804,
AMBER,ok,1804,
AMBUJACEM,ok,1805,
ANANDRATHI,ok,1177,
ANANTRAJ,ok,1805,
ANGELONE,ok,1473,
ANTHEM,ok,288,
ANUP,ok,1803,
ANURAS,ok,1355,
APARINDS,ok,1804,
APLAPOLLO,ok,1805,
APLLTD,ok,1804,
APOLLO,ok,1805,
APOLLOHOSP,ok,1804,
APOLLOTYRE,ok,1805,
APTUS,ok,1253,
ARVIND,ok,1805,
ARVINDFASN,ok,1804,
ASAHIINDIA,ok,1804,
ASHAPURMIN,ok,1805,
ASHOKA,ok,1804,
ASHOKLEY,ok,1805,
ASIANPAINT,ok,1805,
ASKAUTOLTD,ok,702,
ASTERDM,ok,1804,
ASTRAL,ok,1804,
ASTRAMICRO,ok,1805,
ATGL,ok,1804,
ATHERENERG,ok,342,
ATLANTAELE,ok,239,
ATUL,ok,1804,
AUBANK,ok,1804,
AURIONPRO,ok,1805,
AUROPHARMA,ok,1803,
AVALON,ok,845,
AVANTIFEED,ok,1804,
AVL,ok,460,
AWFIS,ok,572,
AWL,ok,1138,
AXISBANK,ok,1804,
AXISCADES,ok,1804,
AZAD,ok,673,
BAJAJ-AUTO,ok,1805,
BAJAJELEC,ok,1805,
BAJAJFINSV,ok,1805,
BAJAJHFL,ok,498,
BAJAJHLDNG,ok,1805,
BAJFINANCE,ok,1805,
BALAMINES,ok,1805,
BALKRISIND,ok,1803,
BALRAMCHIN,ok,1805,
BALUFORGE,ok,593,
BANCOINDIA,ok,1804,
BANDHANBNK,ok,1805,
BANKBARODA,ok,1805,
BANKINDIA,ok,1805,
BATAINDIA,ok,1805,
BAYERCROP,ok,1804,
BBOX,ok,1805,
BBTC,ok,1804,
BDL,ok,1804,
BECTORFOOD,ok,1416,
BEL,ok,1805,
BELRISE,ok,326,
BEML,ok,1805,
BERGEPAINT,ok,1804,
BHARATFORG,ok,1804,
BHARTIARTL,ok,1805,
BHARTIHEXA,ok,603,
BHEL,ok,1805,
BIKAJI,ok,947,
BIOCON,ok,1805,
BIRLACORPN,ok,1804,
BLACKBUCK,ok,451,
BLS,ok,1805,
BLUEDART,ok,1804,
BLUEJET,ok,711,
BLUESTARCO,ok,1804,
BLUESTONE,ok,267,
BORORENEW,ok,1805,
BOSCHLTD,ok,1804,
BPCL,ok,1805,
BRIGADE,ok,1804,
BRITANNIA,ok,1805,
BSE,ok,1804,
BSOFT,ok,1805,
CAMPUS,ok,1079,
CAMS,ok,1473,
CANBK,ok,1805,
CANFINHOME,ok,1804,
CANHLIFE,ok,227,
CAPILLARY,ok,204,
CAPLIPOINT,ok,1803,
CARBORUNIV,ok,1804,
CARTRADE,ok,1255,
CASTROLIND,ok,1805,
CCAVENUE,ok,1804,
CCL,ok,1804,
CDSL,ok,1804,
CEATLTD,ok,1805,
CELLO,ok,706,
CEMPRO,ok,1805,
CENTRALBK,ok,1805,
CENTURYPLY,ok,1803,
CERA,ok,1803,
CESC,ok,1804,
CGCL,ok,1805,
CGPOWER,ok,1805,
CHALET,ok,1804,
CHAMBLFERT,ok,1804,
CHENNPETRO,ok,1805,
CHOICEIN,ok,1097,
CHOLAFIN,ok,1804,
CHOLAHLDNG,ok,1804,
CIEINDIA,ok,1802,
CIPLA,ok,1804,
CLEAN,ok,1277,
CMSINFO,ok,1164,
COALINDIA,ok,1805,
COCHINSHIP,ok,1805,
COFORGE,ok,1805,
COHANCE,ok,1615,
COLPAL,ok,1805,
CONCOR,ok,1805,
CONCORDBIO,ok,760,
COROMANDEL,ok,1805,
CORONA,ok,187,
CPPLUS,ok,277,
CRAFTSMAN,ok,1352,
CRAMC,ok,228,
CREDITACC,ok,1804,
CRISIL,ok,1805,
CRIZAC,ok,296,
CROMPTON,ok,1804,
CSBBANK,ok,1681,
CUB,ok,1805,
CUMMINSIND,ok,1804,
CUPID,ok,1805,
CYIENT,ok,1805,
DABUR,ok,1805,
DALBHARAT,ok,1803,
DATAMATICS,ok,1805,
DATAPATTNS,ok,1169,
DBL,ok,1802,
DBREALTY,ok,1805,
DCBBANK,ok,1805,
DCMSHRIRAM,ok,1804,
DEEPAKFERT,ok,1804,
DEEPAKNTR,ok,1803,
DELHIVERY,ok,1068,
DEVYANI,ok,1258,
DIACABS,ok,1804,
DIVISLAB,ok,1804,
DIXON,ok,1805,
DLF,ok,1804,
DMART,ok,1805,
DOMS,ok,677,
DRREDDY,ok,1805,
DYNAMATECH,ok,1804,
ECLERX,ok,1804,
EDELWEISS,ok,1805,
EICHERMOT,ok,1804,
EIDPARRY,ok,1804,
EIEL,ok,447,
EIHOTEL,ok,1805,
ELECON,ok,1805,
ELECTCAST,ok,1804,
ELGIEQUIP,ok,1804,
ELLEN,ok,301,
EMAMILTD,ok,1805,
EMBDL,ok,1804,
EMCURE,ok,543,
EMIL,ok,968,
EMMVEE,ok,207,
ENDURANCE,ok,1804,
ENGINERSIN,ok,1804,
ENRIN,ok,310,
ENTERO,ok,638,
EPL,ok,1804,
EQUITASBNK,ok,1453,
ERIS,ok,1803,
ESCORTS,ok,1804,
ETERNAL,ok,1274,
ETHOSLTD,ok,1063,
EUREKAFORB,ok,500,
EXIDEIND,ok,1805,
FACT,ok,1804,
FEDERALBNK,ok,1805,
FEDFINA,ok,692,
FIEMIND,ok,1804,
FINCABLES,ok,1805,
FINPIPE,ok,1802,
FIRSTCRY,ok,521,
FIVESTAR,ok,944,
FLUOROCHEM,ok,1714,
FORCEMOT,ok,1711,
FORTIS,ok,1804,
FSL,ok,1805,
GABRIEL,ok,1804,
GAEL,ok,1805,
GAIL,ok,1805,
GALLANTT,ok,1803,
GESHIP,ok,1805,
GHCL,ok,1804,
GICRE,ok,1804,
GILLETTE,ok,1805,
GLAND,ok,1439,
GLAXO,ok,1804,
GLENMARK,ok,1805,
GMDCLTD,ok,1805,
GMMPFAUDLR,ok,1803,
GMRAIRPORT,ok,1805,
GNFC,ok,1805,
GODFRYPHLP,ok,1804,
GODIGIT,ok,576,
GODREJAGRO,ok,1804,
GODREJCP,ok,1805,
GODREJIND,ok,1804,
GODREJPROP,ok,1805,
GOKEX,ok,1804,
GOKULAGRO,ok,1804,
GPIL,ok,1805,
GPPL,ok,1804,
GRANULES,ok,1804,
GRAPHITE,ok,1804,
GRASIM,ok,1804,
GRAVITA,ok,1805,
GREAVESCOT,ok,1805,
GROWW,ok,211,
GRSE,ok,1804,
GRWRHITECH,ok,1141,
GSFC,ok,1805,
HAL,ok,1804,
HAPPSTMNDS,ok,1485,
HAVELLS,ok,1804,
HBLENGINE,ok,1805,
HCC,ok,1805,
HCG,ok,1804,
HCLTECH,ok,1805,
HDBFS,ok,301,
HDFCAMC,ok,1804,
HDFCBANK,ok,1805,
HDFCLIFE,ok,1805,
HEG,ok,1805,
HEMIPROP,ok,1460,
HERITGFOOD,ok,1804,
HEROMOTOCO,ok,1805,
HEXT,ok,388,
HFCL,ok,1805,
HGINFRA,ok,1804,
HINDALCO,ok,1804,
HINDCOPPER,ok,1805,
HINDPETRO,ok,1805,
HINDUNILVR,ok,1804,
HINDZINC,ok,1805,
HOMEFIRST,ok,1388,
HONASA,ok,706,
HONAUT,ok,1802,
HSCL,ok,1805,
HUDCO,ok,1805,
HYUNDAI,ok,473,
ICICIAMC,ok,184,
ICICIBANK,ok,1805,
ICICIGI,ok,1804,
ICICIPRULI,ok,1804,
ICIL,ok,1804,
IDBI,ok,1805,
IDEA,ok,1805,
IDFCFIRSTB,ok,1805,
IEX,ok,1805,
IFBIND,ok,1804,
IFCI,ok,1805,
IGIL,ok,426,
IGL,ok,1804,
IIFL,ok,1805,
IIFLCAPS,ok,1729,
IKS,ok,432,
IMFA,ok,1804,
INDGN,ok,584,
INDHOTEL,ok,1805,
INDIACEM,ok,1804,
INDIAGLYCO,ok,1804,
INDIAMART,ok,1782,
INDIANB,ok,1804,
INDIASHLTR,ok,676,
INDIGO,ok,1803,
INDIGOPNTS,ok,1390,
INDUSINDBK,ok,1805,
INDUSTOWER,ok,1805,
INFY,ok,1805,
INOXGREEN,ok,943,
INOXINDIA,ok,676,
INOXWIND,ok,1805,
INTELLECT,ok,1805,
IOB,ok,1805,
IOC,ok,1805,
IONEXCHANG,ok,1128,
IPCALAB,ok,1804,
IRB,ok,1805,
IRCON,ok,1805,
IRCTC,ok,1716,
IREDA,ok,693,
IRFC,ok,1392,
ITC,ok,1805,
ITCHOTELS,ok,404,
ITI,ok,1804,
IXIGO,ok,560,
JAIBALAJI,ok,1804,
JAINREC,ok,236,
JAMNAAUTO,ok,1804,
JAYNECOIND,ok,1805,
JBCHEPHARM,failed,0,only 5 usable daily bars
JBMA,ok,1805,
JINDALSAW,ok,1805,
JINDALSTEL,ok,1804,
JIOFIN,ok,759,
JKCEMENT,ok,1804,
JKLAKSHMI,ok,1804,
JKPAPER,ok,1804,
JKTYRE,ok,1804,
JLHL,ok,739,
JMFINANCIL,ok,1804,
JPPOWER,ok,1805,
JSFB,ok,641,
JSL,ok,1804,
JSLL,ok,1081,
JSWCEMENT,ok,270,
JSWDULUX,ok,1804,
JSWENERGY,ok,1805,
JSWINFRA,ok,731,
JSWSTEEL,ok,1805,
JUBLFOOD,ok,1805,
JUBLINGREA,ok,1359,
JUBLPHARMA,ok,1804,
JUSTDIAL,ok,1804,
JWL,ok,1805,
JYOTHYLAB,ok,1805,
JYOTICNC,ok,660,
KAJARIACER,ok,1805,
KALYANKJIL,ok,1353,
KANSAINER,ok,1802,
KARURVYSYA,ok,1805,
KAYNES,ok,944,
KEC,ok,1805,
KEI,ok,1805,
KFINTECH,ok,918,
KIMS,ok,1292,
KIRLOSBROS,ok,1804,
KIRLOSENG,ok,1803,
KIRLPNU,ok,839,
KITEX,ok,1804,
KNRCON,ok,1805,
KOTAKBANK,ok,1805,
KPIGREEN,ok,1272,
KPIL,ok,1803,
KPITTECH,ok,1805,
KPRMILL,ok,1804,
KRBL,ok,1803,
KRN,ok,486,
KSB,ok,1804,
KSCL,ok,1803,
KTKBANK,ok,1805,
LALPATHLAB,ok,1804,
LATENTVIEW,ok,1192,
LAURUSLABS,ok,1804,
LEMONTREE,ok,1804,
LENSKART,ok,213,
LGEINDIA,ok,230,
LICHSGFIN,ok,1804,
LICI,ok,1074,
LINDEINDIA,ok,1803,
LLOYDSENGG,ok,1804,
LLOYDSENT,ok,475,
LLOYDSME,ok,784,
LODHA,ok,1340,
LOTUSDEV,ok,276,
LT,ok,1805,
LTF,ok,1805,
LTFOODS,ok,1805,
LTM,ok,1805,
LTTS,ok,1804,
LUMAXTECH,ok,1804,
LUPIN,ok,1805,
LXCHEM,ok,1354,
MAHABANK,ok,1805,
MAHSCOOTER,ok,1803,
MAHSEAMLES,ok,1804,
MANAPPURAM,ok,1805,
MANKIND,ok,830,
MANORAMA,ok,1040,
MANYAVAR,ok,1131,
MAPMYINDIA,ok,1171,
MARICO,ok,1804,
MARKSANS,ok,1804,
MARUTI,ok,1805,
MASTEK,ok,1805,
MAXHEALTH,ok,1503,
MAZDOCK,ok,1468,
MCX,ok,1805,
MEDANTA,ok,945,
MEDPLUS,ok,1168,
MEESHO,ok,191,
METROPOLIS,ok,1804,
MFSL,ok,1804,
MGL,ok,1803,
MIDHANI,ok,1804,
MINDACORP,ok,1803,
MMTC,ok,1805,
MOIL,ok,1804,
MOTHERSON,ok,1805,
MOTILALOFS,ok,1805,
MPHASIS,ok,1804,
MRF,ok,1804,
MRPL,ok,1805,
MSTCLTD,ok,1805,
MSUMI,ok,1106,
MTARTECH,ok,1362,
MUTHOOTFIN,ok,1805,
NAM-INDIA,ok,1805,
