,parent_line_item,Dec 2024,Mar 2025,Dec 2025
Sales,,555.0,724.0,878.0
Expenses,,337.0,454.0,569.0
Operating Profit,,219.0,271.0,309.0
OPM %,,39.0,37.0,35.0
Other Income,,2.0,-15.0,25.0
Interest,,0.0,4.0,2.0
Depreciation,,2.0,4.0,12.0
Profit before tax,,219.0,247.0,320.0
Tax %,,25.0,27.0,25.0
Net Profit,,165.0,181.0,240.0
EPS in Rs,,78.59,104.25,104.25
Dividend Payout %,,6.0,70.0,0.0
Sales Growth %,Sales,30.45,58.16,21.24
Material Cost %,Expenses,25.69,26.2,26.2
Manufacturing Cost %,Expenses,6.13,0.0,0.0
Employee Cost %,Expenses,14.18,14.66,14.66
Other Cost %,Expenses,16.66,23.96,23.96
Exceptional items,Other Income,-28.4,6.6,6.6
Other income normal,Other Income,13.0,18.4,18.4
Exceptional items AT,Net Profit,-20.0,5.0,5.0
Profit excl Excep,Net Profit,201.0,235.0,235.0
Profit for PE,Net Profit,201.0,235.0,235.0
Profit for EPS,Net Profit,181.0,240.0,240.0
Profit Growth %,Net Profit,21.0,41.0,17.0
