,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,0.0,684.0,4949.0,4773.0,4136.0,4178.0,4388.0
Expenses,,0.0,567.0,4108.0,4224.0,3708.0,3658.0,3821.0
Operating Profit,,-0.0,117.0,841.0,549.0,427.0,519.0,567.0
OPM %,,17.0,17.0,11.0,10.0,12.0,13.0,13.0
Other Income,,0.0,-10.0,22.0,32.0,29.0,38.0,27.0
Interest,,0.0,7.0,31.0,22.0,53.0,56.0,49.0
Depreciation,,0.0,22.0,123.0,122.0,136.0,158.0,175.0
Profit before tax,,-0.0,77.0,709.0,437.0,268.0,344.0,370.0
Tax %,,0.0,30.0,33.0,30.0,32.0,27.0,25.0
Net Profit,,-0.0,54.0,477.0,308.0,183.0,251.0,278.0
EPS in Rs,,-3.4,3.41,29.93,19.31,11.48,15.77,17.45
Dividend Payout %,,0.0,10.0,17.0,26.0,43.0,31.0,14.0
Sales Growth %,Sales,,,623.45,-3.57,-13.34,1.01,5.04
Material Cost %,Expenses,,54.0,57.0,54.0,52.0,50.0,52.0
Manufacturing Cost %,Expenses,,16.0,14.0,21.0,19.0,17.0,10.0
Employee Cost %,Expenses,,7.0,7.0,7.0,9.0,10.0,10.0
Other Cost %,Expenses,,6.0,5.0,6.0,9.0,10.0,16.0
Exceptional items,Other Income,0.0,-12.94,-9.48,-1.42,-6.35,-0.26,-13.04
Other income normal,Other Income,0.0,2.6,31.49,33.37,35.32,37.82,40.53
Exceptional items AT,Net Profit,0.0,-9.0,-6.0,-1.0,-4.0,-0.0,-10.0
Profit excl Excep,Net Profit,-0.0,63.0,483.0,308.0,187.0,251.0,288.0
Profit for PE,Net Profit,-0.0,63.0,483.0,308.0,187.0,251.0,288.0
Profit for EPS,Net Profit,-0.0,54.0,477.0,308.0,183.0,251.0,278.0
Profit Growth %,Net Profit,,37424.0,661.0,-36.0,-39.0,34.0,14.0
