,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,2567.0,3435.0,4315.0,6167.0,8527.0,10991.0,10837.0,13692.0,17158.0,19100.0,14967.0
Expenses,,2436.0,3284.0,4075.0,5805.0,8068.0,10341.0,10387.0,13067.0,16570.0,18400.0,14704.0
Operating Profit,,131.0,151.0,240.0,362.0,459.0,650.0,449.0,624.0,589.0,700.0,263.0
OPM %,,5.0,4.0,6.0,6.0,5.0,6.0,4.0,5.0,3.0,4.0,2.0
Other Income,,6.0,9.0,15.0,50.0,71.0,-617.0,78.0,27.0,80.0,0.0,-141.0
Interest,,23.0,31.0,49.0,77.0,117.0,169.0,114.0,82.0,110.0,121.0,39.0
Depreciation,,10.0,14.0,33.0,75.0,123.0,249.0,229.0,212.0,275.0,283.0,41.0
Profit before tax,,104.0,115.0,172.0,261.0,289.0,-384.0,185.0,358.0,284.0,295.0,42.0
Tax %,,36.0,29.0,29.0,-18.0,11.0,12.0,60.0,30.0,22.0,5.0,-10.0
Net Profit,,67.0,81.0,122.0,310.0,257.0,-432.0,74.0,251.0,223.0,280.0,46.0
EPS in Rs,,26.05,7.17,9.61,21.37,17.57,-30.15,3.92,16.3,15.14,18.71,3.08
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,179.0,25.0,53.0,53.0,325.0
Sales Growth %,Sales,33.81,25.62,42.93,38.26,28.9,-1.41,26.34,25.32,11.32,-21.64,2.26
Material Cost %,Expenses,1.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0
Manufacturing Cost %,Expenses,2.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,2.0,0.0
Employee Cost %,Expenses,88.0,84.0,82.0,79.0,82.0,86.0,85.0,85.0,87.0,94.0,95.0
Other Cost %,Expenses,4.0,4.0,4.0,7.0,5.0,5.0,3.0,4.0,3.0,2.0,3.0
Exceptional items,Other Income,0.64,-0.89,-6.27,7.9,-660.6,32.98,10.06,54.79,-26.28,-164.36,-8.07
Other income normal,Other Income,8.41,15.55,56.76,63.08,43.79,44.74,16.96,25.13,26.37,23.54,16.49
Minority share,Net Profit,0.0,0.0,1.0,0.0,-13.0,-16.0,-10.0,2.0,-3.0,-0.0,-1.0
Exceptional items AT,Net Profit,0.0,-1.0,-5.0,6.0,-579.0,14.0,7.0,39.0,-22.0,-132.0,-8.0
Profit excl Excep,Net Profit,81.0,123.0,315.0,251.0,148.0,59.0,244.0,184.0,302.0,178.0,230.0
Profit for PE,Net Profit,81.0,123.0,316.0,251.0,135.0,47.0,234.0,186.0,299.0,178.0,229.0
Profit for EPS,Net Profit,81.0,122.0,311.0,257.0,-445.0,58.0,241.0,224.0,278.0,46.0,222.0
Profit Growth %,Net Profit,20.0,51.0,158.0,-20.0,-46.0,-65.0,403.0,-21.0,61.0,-41.0,29.0
