,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,6315.0,6559.0,7082.0,8171.0,9151.0,8869.0
Expenses,,4887.0,5609.0,6453.0,6974.0,7706.0,7947.0
Operating Profit,,1428.0,950.0,629.0,1197.0,1445.0,922.0
OPM %,,23.0,14.0,9.0,15.0,16.0,10.0
Other Income,,230.0,319.0,272.0,172.0,208.0,74.0
Interest,,163.0,198.0,344.0,448.0,422.0,341.0
Depreciation,,545.0,586.0,677.0,741.0,816.0,831.0
Profit before tax,,949.0,485.0,-120.0,179.0,415.0,-176.0
Tax %,,12.0,22.0,55.0,90.0,78.0,85.0
Net Profit,,835.0,376.0,-186.0,18.0,91.0,-326.0
EPS in Rs,,-1.41,0.13,0.69,-2.45,,
Dividend Payout %,,0.0,18.0,0.0,82.0,20.0,0.0
Sales Growth %,Sales,,3.87,7.97,15.39,11.99,-3.08
Material Cost %,Expenses,32.61,37.37,38.17,36.15,35.31,36.51
Manufacturing Cost %,Expenses,9.21,9.62,10.87,10.33,10.03,0.0
Employee Cost %,Expenses,23.25,24.24,26.81,24.87,25.25,27.24
Other Cost %,Expenses,12.32,14.29,15.27,14.0,13.62,25.85
Exceptional items AT,Net Profit,17.0,-8.0,-0.0,2.0,2.0,-34.0
Profit excl Excep,Net Profit,818.0,384.0,-186.0,16.0,89.0,-292.0
Profit for PE,Net Profit,818.0,384.0,-186.0,16.0,89.0,-292.0
Profit for EPS,Net Profit,835.0,376.0,-186.0,18.0,91.0,-326.0
Profit Growth %,Net Profit,,-53.0,-148.0,109.0,461.0,-429.0
