,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,4717.0,5049.0,5033.0,5855.0,5986.0,6658.0,7896.0,9204.0
Expenses,,3968.0,4340.0,3817.0,4525.0,4804.0,5429.0,6427.0,7339.0
Operating Profit,,749.0,708.0,1216.0,1330.0,1182.0,1230.0,1469.0,1865.0
OPM %,,16.0,14.0,24.0,23.0,20.0,18.0,19.0,20.0
Other Income,,72.0,-25.0,-159.0,63.0,39.0,47.0,62.0,-19.0
Interest,,223.0,257.0,155.0,176.0,214.0,237.0,176.0,144.0
Depreciation,,267.0,321.0,250.0,245.0,260.0,312.0,384.0,415.0
Profit before tax,,331.0,105.0,652.0,973.0,747.0,727.0,971.0,1287.0
Tax %,,37.0,4.0,36.0,28.0,25.0,27.0,27.0,27.0
Net Profit,,209.0,101.0,419.0,703.0,562.0,528.0,707.0,941.0
EPS in Rs,,10.79,4.62,23.15,36.62,29.42,27.5,35.96,48.76
Dividend Payout %,,32.0,54.0,4.0,8.0,7.0,7.0,8.0,7.0
Sales Growth %,Sales,,7.02,-0.3,16.33,2.23,11.23,18.59,16.56
Material Cost %,Expenses,37.28,40.2,37.45,38.14,37.76,37.18,39.85,40.2
Manufacturing Cost %,Expenses,8.02,6.02,7.65,7.21,7.15,7.02,7.16,0.0
Employee Cost %,Expenses,21.48,21.95,17.97,17.29,18.67,19.43,18.32,16.87
Other Cost %,Expenses,17.34,17.81,12.76,14.64,16.67,17.9,16.06,22.67
Exceptional items,Other Income,-21.02,-107.64,-192.75,-0.41,-6.36,-7.62,-4.9,-31.35
Other income normal,Other Income,92.7,82.31,33.45,63.47,45.79,54.67,67.31,12.66
Minority share,Net Profit,-14.0,-17.0,0.0,-40.0,-30.0,-29.0,-26.0,-17.0
Exceptional items AT,Net Profit,-8.0,-75.0,-3.0,-0.0,-5.0,-5.0,-3.0,-22.0
Profit excl Excep,Net Profit,217.0,176.0,421.0,703.0,567.0,533.0,711.0,963.0
Profit for PE,Net Profit,202.0,146.0,421.0,662.0,537.0,503.0,685.0,946.0
Profit for EPS,Net Profit,195.0,84.0,419.0,662.0,532.0,498.0,681.0,924.0
Profit Growth %,Net Profit,,-28.0,188.0,57.0,-19.0,-6.0,36.0,38.0
