,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,28797.0,29657.0,37090.0,54155.0,58185.0,51225.0,63672.0,74731.0
Expenses,,27666.0,28348.0,35765.0,52418.0,57223.0,50090.0,61186.0,72600.0
Operating Profit,,1131.0,1310.0,1326.0,1736.0,962.0,1135.0,2486.0,2131.0
OPM %,,4.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0
Other Income,,122.0,110.0,104.0,172.0,961.0,240.0,233.0,392.0
Interest,,487.0,569.0,407.0,541.0,775.0,749.0,724.0,707.0
Depreciation,,199.0,241.0,268.0,309.0,358.0,364.0,395.0,449.0
Profit before tax,,567.0,609.0,755.0,1059.0,789.0,262.0,1601.0,1367.0
Tax %,,37.0,34.0,14.0,27.0,30.0,35.0,27.0,28.0
Net Profit,,376.0,461.0,729.0,804.0,582.0,148.0,1226.0,1045.0
EPS in Rs,,32.86,40.32,63.74,6.18,4.48,1.14,9.43,8.02
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Sales Growth %,Sales,,2.98,25.06,46.01,7.44,-11.96,24.3,17.37
Material Cost %,Expenses,84.0,82.0,85.0,90.0,91.0,88.0,88.0,90.0
Manufacturing Cost %,Expenses,6.0,6.0,5.0,2.0,3.0,3.0,3.0,0.0
Employee Cost %,Expenses,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Other Cost %,Expenses,5.0,6.0,5.0,4.0,4.0,6.0,4.0,7.0
Exceptional items,Other Income,0.0,0.0,-0.0,-0.0,-3.0,-31.0,-5.0,-26.0
Other income normal,Other Income,122.0,110.0,104.0,172.0,964.0,271.0,238.0,418.0
Profit from Associates,Net Profit,21.0,58.0,77.0,29.0,29.0,-23.0,63.0,54.0
Minority share,Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0
Exceptional items AT,Net Profit,0.0,0.0,-0.0,-0.0,-2.0,-10.0,-3.0,-19.0
Profit excl Excep,Net Profit,375.0,461.0,729.0,804.0,584.0,158.0,1229.0,1064.0
Profit for PE,Net Profit,375.0,461.0,729.0,804.0,584.0,158.0,1229.0,1061.0
Profit for EPS,Net Profit,376.0,461.0,729.0,804.0,582.0,148.0,1226.0,1042.0
Profit Growth %,Net Profit,,23.0,58.0,10.0,-27.0,-73.0,677.0,-14.0
