,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,3541.0,4260.0,4675.0,5215.0
Expenses,,2265.0,2794.0,3124.0,3549.0
Operating Profit,,1276.0,1466.0,1551.0,1666.0
OPM %,,36.0,34.0,33.0,32.0
Other Income,,148.0,106.0,276.0,277.0
Interest,,16.0,19.0,17.0,18.0
Depreciation,,54.0,57.0,53.0,50.0
Profit before tax,,1354.0,1496.0,1757.0,1875.0
Tax %,,26.0,26.0,25.0,26.0
Net Profit,,1006.0,1111.0,1315.0,1393.0
EPS in Rs,,12.57,13.89,16.44,17.42
Dividend Payout %,,44.0,47.0,49.0,52.0
Sales Growth %,Sales,,20.29,9.73,11.55
Material Cost %,Expenses,6.0,6.0,6.0,5.0
Manufacturing Cost %,Expenses,39.0,40.0,42.0,0.0
Employee Cost %,Expenses,7.0,7.0,7.0,6.0
Other Cost %,Expenses,12.0,13.0,13.0,57.0
Exceptional items,Other Income,27.0,-59.0,47.0,17.0
Other income normal,Other Income,120.0,164.0,229.0,260.0
Exceptional items AT,Net Profit,20.0,-44.0,35.0,12.0
Profit excl Excep,Net Profit,986.0,1155.0,1280.0,1381.0
Profit for PE,Net Profit,986.0,1155.0,1280.0,1381.0
Profit for EPS,Net Profit,1006.0,1111.0,1315.0,1393.0
Profit Growth %,Net Profit,,17.0,11.0,8.0
