,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1871.0,1391.0,1582.0,1707.0,1980.0,3282.0,4624.0,5553.0
Expenses,,1689.0,1251.0,1436.0,1542.0,1787.0,2961.0,4170.0,4980.0
Operating Profit,,182.0,140.0,145.0,165.0,193.0,321.0,455.0,573.0
OPM %,,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0
Other Income,,1.0,2.0,4.0,4.0,8.0,15.0,21.0,6.0
Interest,,102.0,85.0,74.0,94.0,105.0,155.0,214.0,217.0
Depreciation,,38.0,38.0,45.0,48.0,47.0,53.0,63.0,80.0
Profit before tax,,43.0,18.0,30.0,27.0,50.0,128.0,199.0,281.0
Tax %,,27.0,-129.0,30.0,6.0,29.0,36.0,25.0,24.0
Net Profit,,31.0,41.0,21.0,25.0,36.0,82.0,149.0,213.0
EPS in Rs,,2.76,3.65,1.9,2.23,3.15,7.23,13.24,18.87
Dividend Payout %,,8.0,2.0,5.0,4.0,3.0,1.0,1.0,1.0
Sales Growth %,Sales,,-25.68,13.74,7.94,16.01,65.73,40.9,20.07
Material Cost %,Expenses,68.0,64.0,65.0,67.0,64.0,51.0,62.0,64.0
Manufacturing Cost %,Expenses,12.0,15.0,16.0,13.0,12.0,29.0,18.0,-0.0
Employee Cost %,Expenses,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0
Other Cost %,Expenses,6.0,6.0,5.0,5.0,9.0,6.0,6.0,21.0
Exceptional items,Other Income,-0.78,1.0,1.22,0.24,0.26,-0.26,-1.71,-10.68
Other income normal,Other Income,1.37,0.97,3.16,3.77,7.92,15.58,23.04,16.36
Exceptional items AT,Net Profit,-0.0,1.0,1.0,0.0,0.0,-0.0,-1.0,-8.0
Profit excl Excep,Net Profit,32.0,40.0,21.0,25.0,35.0,82.0,151.0,221.0
Profit for PE,Net Profit,32.0,40.0,21.0,25.0,35.0,82.0,151.0,221.0
Profit for EPS,Net Profit,31.0,41.0,21.0,25.0,36.0,82.0,149.0,213.0
Profit Growth %,Net Profit,,28.0,-49.0,20.0,41.0,131.0,84.0,47.0
