,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,211.0,190.0,172.0,170.0,248.0,454.0,622.0,1091.0,1138.0,1624.0,1829.0
Expenses,,135.0,129.0,123.0,154.0,255.0,415.0,536.0,989.0,1040.0,1509.0,1858.0
Operating Profit,,76.0,61.0,49.0,15.0,-7.0,39.0,86.0,102.0,99.0,115.0,-29.0
OPM %,,36.0,32.0,28.0,9.0,-3.0,9.0,14.0,9.0,9.0,7.0,-2.0
Other Income,,8.0,12.0,-26.0,16.0,15.0,14.0,24.0,47.0,65.0,80.0,343.0
Interest,,0.0,0.0,2.0,1.0,1.0,1.0,1.0,6.0,8.0,11.0,22.0
Depreciation,,1.0,1.0,8.0,20.0,26.0,36.0,39.0,57.0,67.0,118.0,231.0
Profit before tax,,83.0,72.0,13.0,11.0,-20.0,17.0,70.0,87.0,89.0,66.0,60.0
Tax %,,22.0,15.0,92.0,38.0,37.0,18.0,27.0,29.0,16.0,23.0,-36.0
Net Profit,,65.0,61.0,1.0,7.0,-27.0,14.0,51.0,61.0,75.0,51.0,82.0
EPS in Rs,,40.32,38.14,0.12,0.8,-0.1,0.38,1.09,1.49,1.85,2.16,2.59
Dividend Payout %,,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sales Growth %,Sales,,-9.95,-9.53,-1.36,45.85,83.51,36.88,75.49,4.33,42.66,12.63
Material Cost %,Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,2.0
Manufacturing Cost %,Expenses,11.0,10.0,8.0,27.0,21.0,12.0,23.0,36.0,34.0,32.0,0.0
Employee Cost %,Expenses,11.0,13.0,22.0,24.0,13.0,11.0,14.0,14.0,16.0,18.0,17.0
Other Cost %,Expenses,42.0,44.0,42.0,39.0,69.0,69.0,49.0,36.0,34.0,41.0,83.0
Exceptional items,Other Income,0.0,3.0,-35.0,1.0,2.0,1.0,2.0,1.0,-6.0,5.0,-901.0
Other income normal,Other Income,8.0,9.0,9.0,15.0,14.0,13.0,22.0,46.0,71.0,75.0,1244.0
Minority share,Net Profit,0.0,0.0,2.0,11.0,25.0,-4.0,-22.0,-22.0,-18.0,25.0,14.0
Exceptional items AT,Net Profit,0.0,2.0,-21.0,0.0,2.0,0.0,1.0,2.0,5.0,5.0,-870.0
Profit excl Excep,Net Profit,65.0,59.0,22.0,6.0,-28.0,13.0,49.0,59.0,70.0,46.0,952.0
Profit for PE,Net Profit,65.0,59.0,23.0,17.0,-2.0,9.0,28.0,38.0,53.0,70.0,966.0
Profit for EPS,Net Profit,65.0,61.0,3.0,18.0,-2.0,9.0,28.0,39.0,57.0,76.0,96.0
Profit Growth %,Net Profit,,-9.0,-60.0,-27.0,-113.0,496.0,211.0,38.0,39.0,33.0,1271.0
