,parent_line_item,Mar 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Sales,,5570.0,4001.0,5320.0,6428.0,8032.0,7908.0,6050.0,6765.0,8753.0,9280.0,8964.0
Expenses,,5128.0,3638.0,4789.0,5622.0,7031.0,6940.0,5548.0,5823.0,7581.0,7856.0,7613.0
Operating Profit,,442.0,363.0,531.0,806.0,1001.0,968.0,502.0,942.0,1172.0,1424.0,1351.0
OPM %,,8.0,9.0,10.0,13.0,12.0,12.0,8.0,14.0,13.0,15.0,15.0
Other Income,,-183.0,-49.0,22.0,20.0,39.0,28.0,55.0,32.0,-749.0,409.0,150.0
Interest,,121.0,50.0,59.0,51.0,50.0,52.0,55.0,35.0,23.0,107.0,78.0
Depreciation,,238.0,163.0,232.0,268.0,287.0,316.0,306.0,273.0,296.0,322.0,331.0
Profit before tax,,-100.0,101.0,262.0,507.0,702.0,628.0,195.0,666.0,104.0,1403.0,1092.0
Tax %,,-22.0,24.0,35.0,29.0,29.0,44.0,45.0,41.0,231.0,20.0,24.0
Net Profit,,-78.0,77.0,169.0,358.0,498.0,354.0,106.0,393.0,-136.0,1125.0,828.0
EPS in Rs,,-2.42,2.37,4.47,9.47,13.15,9.33,2.81,10.37,-3.59,29.66,21.81
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,-70.0,17.0,32.0
Sales Growth %,Sales,114.99,32.97,20.83,24.95,-1.54,-23.49,11.82,29.39,6.02,-3.41,4.94
Material Cost %,Expenses,46.0,40.0,44.0,45.0,47.0,46.0,49.0,55.0,53.0,52.0,51.0
Manufacturing Cost %,Expenses,18.0,22.0,19.0,20.0,18.0,19.0,17.0,18.0,17.0,17.0,18.0
Employee Cost %,Expenses,21.0,21.0,18.0,17.0,17.0,21.0,14.0,10.0,11.0,11.0,12.0
Other Cost %,Expenses,6.0,7.0,6.0,6.0,6.0,5.0,6.0,4.0,4.0,4.0,5.0
Exceptional items,Other Income,-223.0,-3.0,-7.0,3.0,-5.0,18.0,-13.0,-808.0,327.0,9.0,5.0
Other income normal,Other Income,40.0,25.0,27.0,36.0,33.0,36.0,46.0,59.0,82.0,141.0,103.0
Minority share,Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exceptional items AT,Net Profit,-186.0,-2.0,-5.0,2.0,-3.0,10.0,-6.0,-51.0,-1.0,2.0,0.0
Profit excl Excep,Net Profit,108.0,171.0,363.0,496.0,356.0,96.0,399.0,-85.0,1126.0,825.0,828.0
Profit for PE,Net Profit,108.0,171.0,363.0,496.0,356.0,96.0,399.0,-85.0,1126.0,825.0,828.0
Profit for EPS,Net Profit,-78.0,169.0,358.0,498.0,354.0,106.0,393.0,-136.0,1125.0,828.0,828.0
Profit Growth %,Net Profit,243.0,33.0,113.0,37.0,-28.0,-73.0,314.0,-121.0,1428.0,-27.0,0.0
