,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,884.0,1014.0,1196.0,1403.0
Expenses,,756.0,859.0,956.0,1110.0
Operating Profit,,128.0,156.0,241.0,293.0
OPM %,,14.0,15.0,20.0,21.0
Other Income,,7.0,5.0,6.0,-8.0
Interest,,4.0,14.0,11.0,7.0
Depreciation,,20.0,28.0,37.0,38.0
Profit before tax,,111.0,118.0,199.0,240.0
Tax %,,23.0,24.0,25.0,23.0
Net Profit,,85.0,90.0,149.0,185.0
EPS in Rs,,13.89,14.8,24.43,30.27
Dividend Payout %,,20.0,25.0,30.0,0.0
Sales Growth %,Sales,,14.75,17.94,17.28
Material Cost %,Expenses,23.86,22.36,19.77,18.6
Manufacturing Cost %,Expenses,0.97,1.19,1.05,0.0
Employee Cost %,Expenses,29.04,29.5,29.07,28.72
Other Cost %,Expenses,31.65,31.58,29.99,31.77
Exceptional items,Other Income,0.14,-0.96,-0.71,-19.1
Other income normal,Other Income,7.12,6.22,6.32,10.92
Exceptional items AT,Net Profit,0.0,-1.0,-1.0,-15.0
Profit excl Excep,Net Profit,85.0,91.0,150.0,200.0
Profit for PE,Net Profit,85.0,91.0,150.0,200.0
Profit for EPS,Net Profit,85.0,90.0,149.0,185.0
Profit Growth %,Net Profit,,8.0,64.0,33.0
