,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,3851.0,2729.0,2606.0,2650.0,3954.0,5685.0,4281.0,4737.0,4996.0
Expenses,,3105.0,1941.0,2167.0,2052.0,2785.0,3719.0,3366.0,3638.0,3706.0
Operating Profit,,745.0,788.0,439.0,598.0,1168.0,1965.0,915.0,1100.0,1290.0
OPM %,,19.0,29.0,17.0,23.0,30.0,35.0,21.0,23.0,26.0
Other Income,,112.0,78.0,190.0,199.0,161.0,172.0,100.0,115.0,22.0
Interest,,279.0,56.0,105.0,113.0,78.0,117.0,133.0,147.0,138.0
Depreciation,,299.0,164.0,192.0,202.0,205.0,236.0,286.0,355.0,367.0
Profit before tax,,279.0,645.0,332.0,482.0,1045.0,1785.0,595.0,713.0,807.0
Tax %,,14.0,-93.0,43.0,146.0,26.0,26.0,27.0,23.0,29.0
Net Profit,,240.0,1246.0,189.0,-222.0,776.0,1323.0,435.0,546.0,574.0
EPS in Rs,,17.87,-19.91,71.66,120.97,39.59,49.71,52.25,,
Dividend Payout %,,15.0,0.0,0.0,0.0,6.0,3.0,8.0,6.0,6.0
Sales Growth %,Sales,,-29.12,-4.5,1.69,49.16,43.78,-24.7,10.67,5.46
Material Cost %,Expenses,16.93,24.48,29.2,29.41,27.83,25.43,30.79,28.78,32.87
Manufacturing Cost %,Expenses,27.59,29.04,32.03,29.88,26.3,24.56,27.86,27.35,15.13
Employee Cost %,Expenses,9.14,6.85,8.03,8.4,6.99,6.0,8.32,9.23,9.73
Other Cost %,Expenses,26.97,10.76,13.9,9.73,9.32,9.44,11.66,11.44,16.45
Exceptional items,Other Income,20.54,-2.41,-26.01,-2.47,21.0,2.63,-7.4,-0.68,-20.0
Other income normal,Other Income,91.83,80.14,216.25,201.08,139.55,169.67,106.93,115.69,42.0
Minority share,Net Profit,13.0,2.0,7.0,3.0,11.0,6.0,0.0,0.0,0.0
Exceptional items AT,Net Profit,6.0,-2.0,-14.0,-2.0,16.0,2.0,-5.0,-0.0,-14.0
Profit excl Excep,Net Profit,234.0,1248.0,203.0,-220.0,760.0,1321.0,440.0,546.0,588.0
Profit for PE,Net Profit,247.0,1250.0,210.0,-217.0,772.0,1327.0,440.0,547.0,588.0
Profit for EPS,Net Profit,254.0,1249.0,196.0,-219.0,787.0,1329.0,435.0,546.0,574.0
Profit Growth %,Net Profit,,406.0,-83.0,-203.0,456.0,72.0,-67.0,24.0,8.0
