,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,2942.0,2852.0,2381.0,3530.0,4414.0,5117.0,5168.0,5506.0
Expenses,,2437.0,2382.0,1995.0,2884.0,3593.0,4176.0,4234.0,4653.0
Operating Profit,,505.0,470.0,386.0,646.0,821.0,941.0,934.0,853.0
OPM %,,17.0,16.0,16.0,18.0,19.0,18.0,18.0,15.0
Other Income,,36.0,36.0,39.0,49.0,88.0,116.0,128.0,91.0
Interest,,1.0,16.0,18.0,22.0,18.0,19.0,20.0,34.0
Depreciation,,69.0,99.0,92.0,86.0,95.0,106.0,121.0,145.0
Profit before tax,,471.0,392.0,315.0,587.0,796.0,932.0,921.0,765.0
Tax %,,25.0,36.0,24.0,26.0,22.0,27.0,27.0,29.0
Net Profit,,353.0,252.0,239.0,437.0,624.0,679.0,677.0,547.0
EPS in Rs,,15.38,16.75,16.69,13.46,13.72,,,
Dividend Payout %,,18.0,66.0,0.0,0.0,0.0,60.0,70.0,87.0
Sales Growth %,Sales,,-3.06,-16.52,48.24,25.06,15.93,1.0,6.52
Material Cost %,Expenses,11.71,12.9,14.21,19.51,15.46,17.5,17.41,17.57
Manufacturing Cost %,Expenses,14.42,12.25,11.51,4.17,4.86,13.96,11.75,11.9
Employee Cost %,Expenses,47.25,49.74,51.07,42.86,43.71,46.19,48.16,49.72
Other Cost %,Expenses,9.46,8.62,7.01,15.17,17.37,3.95,4.61,5.32
Exceptional items,Other Income,-6.0,-9.0,1.0,0.0,0.0,0.0,0.0,-108.0
Other income normal,Other Income,42.0,45.0,39.0,49.0,88.0,116.0,128.0,199.0
Exceptional items AT,Net Profit,-6.0,-5.0,1.0,0.0,0.0,0.0,0.0,-66.0
Profit excl Excep,Net Profit,359.0,257.0,239.0,437.0,624.0,679.0,677.0,613.0
Profit for PE,Net Profit,359.0,257.0,239.0,437.0,624.0,679.0,677.0,613.0
Profit for EPS,Net Profit,353.0,252.0,239.0,437.0,624.0,679.0,677.0,547.0
Profit Growth %,Net Profit,,-28.0,-7.0,83.0,43.0,9.0,-0.0,-9.0
