,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,660.0,683.0,649.0,702.0,735.0,733.0,741.0,917.0,988.0,988.0,1158.0
Expenses,,278.0,262.0,275.0,313.0,289.0,311.0,331.0,414.0,415.0,410.0,450.0
Operating Profit,,382.0,421.0,374.0,389.0,447.0,422.0,411.0,503.0,574.0,578.0,708.0
OPM %,,58.0,62.0,58.0,55.0,61.0,58.0,55.0,55.0,58.0,58.0,61.0
Other Income,,61.0,66.0,59.0,76.0,78.0,48.0,30.0,35.0,31.0,98.0,114.0
Interest,,0.0,0.0,0.0,0.0,7.0,6.0,5.0,8.0,9.0,6.0,7.0
Depreciation,,97.0,107.0,104.0,113.0,131.0,133.0,129.0,116.0,116.0,117.0,126.0
Profit before tax,,345.0,379.0,330.0,352.0,386.0,330.0,307.0,413.0,479.0,552.0,689.0
Tax %,,34.0,26.0,33.0,33.0,17.0,33.0,36.0,24.0,29.0,28.0,25.0
Net Profit,,227.0,282.0,221.0,237.0,319.0,222.0,197.0,313.0,342.0,397.0,515.0
EPS in Rs,,4.71,5.84,4.57,4.9,6.61,4.59,4.08,6.48,7.07,8.21,10.66
Dividend Payout %,,40.0,65.0,74.0,71.0,85.0,98.0,98.0,94.0,103.0,100.0,47.0
Sales Growth %,Sales,,3.51,-5.01,8.18,4.76,-0.26,1.08,23.68,7.8,-0.08,17.28
Manufacturing Cost %,Expenses,30.16,26.2,28.18,30.28,26.3,28.54,29.39,30.57,28.18,27.4,0.0
Employee Cost %,Expenses,7.03,7.31,8.21,8.56,7.76,9.21,10.08,8.22,8.09,8.87,7.88
Other Cost %,Expenses,4.89,4.92,5.94,5.77,5.2,4.69,5.12,6.4,5.68,5.23,30.98
Exceptional items,Other Income,-6.0,-2.0,-0.0,-0.0,-0.0,0.0,-5.0,-38.0,-54.0,-0.0,19.0
Other income normal,Other Income,67.0,68.0,60.0,76.0,78.0,47.0,35.0,72.0,84.0,98.0,94.0
Exceptional items AT,Net Profit,-4.0,-2.0,-0.0,-0.0,-0.0,0.0,-3.0,-28.0,-38.0,-0.0,15.0
Profit excl Excep,Net Profit,232.0,284.0,221.0,237.0,319.0,222.0,201.0,341.0,380.0,397.0,501.0
Profit for PE,Net Profit,232.0,284.0,221.0,237.0,319.0,222.0,201.0,341.0,380.0,397.0,501.0
Profit for EPS,Net Profit,227.0,282.0,221.0,237.0,319.0,222.0,197.0,313.0,342.0,397.0,515.0
Profit Growth %,Net Profit,,23.0,-22.0,7.0,35.0,-31.0,-10.0,70.0,11.0,4.0,26.0
