,parent_line_item,Mar 2012,Mar 2013,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,,148.0,223.0,217.0,1468.0,1832.0,2704.0,2806.0,2813.0,4165.0,5677.0,6354.0
Interest,,59.0,81.0,109.0,607.0,725.0,1070.0,1078.0,1039.0,1467.0,2268.0,2718.0
Expenses,,93.0,102.0,111.0,922.0,1053.0,1417.0,1944.0,2603.0,1730.0,2396.0,3406.0
Financing Profit,,-3.0,40.0,-3.0,-61.0,54.0,217.0,-215.0,-830.0,968.0,1014.0,230.0
Financing Margin %,,-2.0,18.0,-1.0,-4.0,3.0,8.0,-8.0,-30.0,23.0,18.0,4.0
Other Income,,8.0,11.0,9.0,111.0,206.0,322.0,302.0,360.0,589.0,787.0,846.0
Depreciation,,2.0,3.0,5.0,41.0,61.0,73.0,77.0,80.0,90.0,98.0,135.0
Profit before tax,,2.0,49.0,1.0,9.0,199.0,466.0,10.0,-550.0,1467.0,1702.0,942.0
Tax %,,22.0,31.0,94.0,22.0,0.0,25.0,19.0,-25.0,25.0,25.0,23.0
Net Profit,,2.0,34.0,0.0,7.0,199.0,350.0,8.0,-415.0,1100.0,1281.0,726.0
EPS in Rs,,0.0,0.05,1.38,2.02,0.05,-2.4,5.63,6.54,3.75,3.57,4.67
Dividend Payout %,,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,0.0
Manufacturing Cost %,Expenses,0.52,0.43,3.43,3.9,2.77,2.66,1.09,0.94,0.87,0.89,0.82
Employee Cost %,Expenses,40.59,29.55,24.6,28.37,26.63,26.73,28.96,22.17,20.91,23.65,25.88
Other Cost %,Expenses,21.68,15.67,34.8,25.2,23.01,39.89,62.51,18.42,20.42,29.07,29.9
Exceptional items,Other Income,-0.0,-0.0,0.0,-1.0,-0.0,-1.0,-2.0,-1.0,-1.0,-0.0,-1.0
Other income normal,Other Income,8.0,11.0,111.0,207.0,322.0,303.0,362.0,590.0,788.0,847.0,1109.0
Exceptional items AT,Net Profit,-0.0,-0.0,0.0,-1.0,-0.0,11.0,-2.0,-0.0,-1.0,-0.0,-1.0
Profit excl Excep,Net Profit,2.0,34.0,7.0,200.0,350.0,-3.0,-413.0,1100.0,1283.0,726.0,693.0
Profit for PE,Net Profit,2.0,34.0,7.0,200.0,350.0,-3.0,-413.0,1100.0,1283.0,726.0,693.0
Profit for EPS,Net Profit,2.0,34.0,7.0,199.0,350.0,8.0,-415.0,1100.0,1281.0,726.0,693.0
Profit Growth %,Net Profit,,1870.0,13620.0,2821.0,75.0,-101.0,-12834.0,367.0,17.0,-43.0,-5.0
