,parent_line_item,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,156.0,325.0,415.0,557.0,633.0,762.0,891.0,1371.0,1476.0,1556.0
Expenses,,146.0,296.0,368.0,495.0,541.0,653.0,748.0,1313.0,1418.0,1115.0
Operating Profit,,9.0,30.0,46.0,62.0,92.0,109.0,143.0,58.0,58.0,440.0
OPM %,,6.0,9.0,11.0,11.0,14.0,14.0,16.0,4.0,4.0,28.0
Other Income,,36.0,56.0,14.0,135.0,28.0,34.0,19.0,50.0,34.0,-188.0
Interest,,0.0,2.0,4.0,8.0,7.0,6.0,8.0,29.0,32.0,14.0
Depreciation,,4.0,18.0,21.0,32.0,37.0,45.0,54.0,132.0,135.0,95.0
Profit before tax,,41.0,65.0,36.0,156.0,76.0,92.0,101.0,-53.0,-74.0,142.0
Tax %,,11.0,23.0,18.0,12.0,35.0,35.0,30.0,-5.0,17.0,11.0
Net Profit,,39.0,51.0,29.0,137.0,49.0,60.0,71.0,-50.0,-87.0,127.0
EPS in Rs,,3.27,4.12,2.68,13.93,4.89,5.9,5.34,-3.59,-5.25,9.21
Dividend Payout %,,15.0,15.0,23.0,5.0,13.0,11.0,0.0,0.0,0.0,0.0
Sales Growth %,Sales,,108.9,27.52,34.25,13.59,20.39,,53.87,7.66,5.38
Material Cost %,Expenses,57.95,44.07,43.38,36.95,37.38,34.55,17.58,26.44,28.97,24.48
Manufacturing Cost %,Expenses,2.94,14.51,14.18,17.53,18.87,21.15,37.62,42.24,41.71,21.64
Employee Cost %,Expenses,11.42,11.27,11.43,13.11,11.66,11.86,13.46,15.94,14.26,7.12
Other Cost %,Expenses,21.72,21.07,19.81,21.36,17.6,18.17,15.25,11.13,11.12,18.45
Exceptional items,Other Income,5.0,23.0,-23.0,95.0,1.0,2.0,2.0,32.0,17.0,-213.0
Other income normal,Other Income,31.0,34.0,36.0,39.0,27.0,33.0,17.0,18.0,17.0,25.0
Profit from Associates,Net Profit,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minority share,Net Profit,0.0,-1.0,-4.0,-9.0,-4.0,-6.0,-1.0,3.0,17.0,2.0
Exceptional items AT,Net Profit,4.0,16.0,-16.0,84.0,1.0,1.0,1.0,32.0,17.0,-198.0
Profit excl Excep,Net Profit,35.0,35.0,45.0,53.0,49.0,59.0,69.0,-82.0,-104.0,326.0
Profit for PE,Net Profit,35.0,34.0,38.0,50.0,45.0,54.0,68.0,-77.0,-83.0,327.0
Profit for EPS,Net Profit,39.0,49.0,25.0,128.0,45.0,54.0,70.0,-47.0,-70.0,129.0
Profit Growth %,Net Profit,,-3.0,11.0,32.0,-10.0,20.0,,-213.0,-8.0,493.0
