,parent_line_item,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1464.0,1651.0,2414.0,2723.0,3672.0,3655.0,4178.0,4118.0,4359.0
Expenses,,1340.0,1507.0,2240.0,2485.0,3761.0,3361.0,4055.0,3654.0,3837.0
Operating Profit,,124.0,144.0,174.0,238.0,-89.0,294.0,123.0,465.0,522.0
OPM %,,8.0,9.0,7.0,9.0,-2.4,8.0,3.0,11.0,12.0
Other Income,,6.0,6.0,26.0,11.0,7.0,15.0,8.0,69.0,108.0
Interest,,23.0,22.0,20.0,7.0,17.0,46.0,51.0,35.0,94.0
Depreciation,,31.0,38.0,67.0,70.0,95.0,113.0,126.0,153.0,155.0
Profit before tax,,77.0,89.0,114.0,172.0,-193.0,150.0,-45.0,345.0,382.0
Tax %,,51.0,50.0,62.0,28.0,30.0,35.0,-102.0,0.0,33.0
Net Profit,,43.0,61.0,44.0,123.0,-251.0,98.0,1.0,344.0,256.0
EPS in Rs,,366.55,523.23,335.61,943.49,-35.3,6.63,-0.28,21.49,16.21
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Sales Growth %,Sales,,12.75,,12.78,34.87,-0.46,14.32,-1.44,5.85
Material Cost %,Expenses,57.0,56.0,61.0,62.0,64.0,62.0,61.0,59.0,58.0
Manufacturing Cost %,Expenses,4.0,5.0,6.0,5.0,6.0,7.0,6.0,6.0,7.0
Employee Cost %,Expenses,18.0,19.0,18.0,16.0,14.0,16.0,15.0,17.0,17.0
Other Cost %,Expenses,12.0,12.0,7.0,8.0,19.0,7.0,14.0,6.0,6.0
Exceptional items,Other Income,-0.0,0.0,-1.0,-10.0,-14.0,-68.0,-26.0,20.0,-20.0
Other income normal,Other Income,7.0,6.0,27.0,21.0,21.0,83.0,34.0,48.0,129.0
Minority share,Net Profit,0.0,0.0,0.0,-1.0,-2.0,-3.0,-5.0,-6.0,-1.0
Exceptional items AT,Net Profit,-0.0,0.0,-0.0,-7.0,-9.0,-32.0,17.0,16.0,-13.0
Profit excl Excep,Net Profit,43.0,61.0,44.0,130.0,-242.0,130.0,-16.0,328.0,270.0
Profit for PE,Net Profit,43.0,61.0,44.0,130.0,-244.0,126.0,-21.0,323.0,269.0
Profit for EPS,Net Profit,43.0,61.0,44.0,123.0,-253.0,95.0,-4.0,338.0,255.0
Profit Growth %,Net Profit,,42.0,,194.0,-288.0,152.0,-116.0,1661.0,-17.0
