,parent_line_item,Jun 2015,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,36701.0,31136.0,47568.0,50569.0,60427.0,70676.0,75379.0,85651.0,101456.0,109913.0,117055.0
Expenses,,28215.0,24482.0,37178.0,39323.0,46501.0,53360.0,55331.0,65122.0,78828.0,85715.0,91551.0
Operating Profit,,8486.0,6654.0,10390.0,11246.0,13926.0,17316.0,20048.0,20529.0,22628.0,24198.0,25504.0
OPM %,,23.0,21.0,22.0,22.0,23.0,24.0,27.0,24.0,22.0,22.0,22.0
Other Income,,1126.0,871.0,1069.0,1230.0,943.0,589.0,927.0,1067.0,1358.0,1495.0,2485.0
Interest,,91.0,74.0,89.0,69.0,174.0,505.0,511.0,319.0,353.0,553.0,644.0
Depreciation,,404.0,410.0,828.0,1383.0,2073.0,3420.0,4611.0,4326.0,4145.0,4173.0,4084.0
Profit before tax,,9117.0,7041.0,10542.0,11024.0,12622.0,13980.0,15853.0,16951.0,19488.0,20967.0,23261.0
Tax %,,20.0,20.0,18.0,21.0,20.0,21.0,30.0,20.0,24.0,25.0,25.0
Net Profit,,7342.0,5602.0,8606.0,8722.0,10120.0,11057.0,11169.0,13523.0,14845.0,15710.0,17399.0
EPS in Rs,,26.02,19.86,30.16,31.32,37.31,40.75,41.07,49.74,54.73,57.86,64.08
Dividend Payout %,,58.0,40.0,40.0,19.0,11.0,25.0,24.0,84.0,88.0,90.0,94.0
Sales Growth %,Sales,14.18,52.78,6.31,19.49,16.96,6.65,13.63,18.45,8.34,6.5,11.18
Material Cost %,Expenses,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Manufacturing Cost %,Expenses,17.0,20.0,19.0,19.0,18.0,16.0,17.0,17.0,15.0,14.0,15.0
Employee Cost %,Expenses,48.0,48.0,49.0,48.0,49.0,52.0,54.0,54.0,57.0,57.0,57.0
Other Cost %,Expenses,8.0,8.0,7.0,7.0,6.0,3.0,3.0,4.0,5.0,5.0,5.0
Exceptional items,Other Income,179.0,42.0,161.0,167.0,125.0,215.0,118.0,265.0,172.0,202.0,-796.0
Other income normal,Other Income,947.0,1027.0,1069.0,776.0,464.0,712.0,949.0,1093.0,1323.0,2283.0,1370.0
Profit from Associates,Net Profit,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minority share,Net Profit,-25.0,0.0,-1.0,0.0,0.0,-24.0,-24.0,6.0,-8.0,-9.0,-10.0
Exceptional items AT,Net Profit,137.0,34.0,126.0,126.0,99.0,151.0,94.0,202.0,129.0,253.0,-600.0
Profit excl Excep,Net Profit,7205.0,8572.0,8596.0,9994.0,10958.0,11018.0,13429.0,14643.0,15581.0,17146.0,17252.0
Profit for PE,Net Profit,7180.0,8572.0,8595.0,9994.0,10958.0,10994.0,13405.0,14649.0,15573.0,17137.0,17241.0
Profit for EPS,Net Profit,7317.0,8606.0,8721.0,10120.0,11057.0,11145.0,13499.0,14851.0,15702.0,17390.0,16642.0
Profit Growth %,Net Profit,12.0,57.0,0.0,16.0,10.0,0.0,22.0,9.0,6.0,10.0,1.0
