,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,978.0,1146.0,1383.0,1306.0,1590.0,1915.0,2265.0,2425.0,2487.0
Expenses,,830.0,948.0,1129.0,1012.0,1190.0,1377.0,1665.0,1798.0,1891.0
Operating Profit,,147.0,198.0,254.0,294.0,400.0,538.0,599.0,627.0,596.0
OPM %,,15.0,17.0,18.0,22.0,25.0,28.0,26.0,26.0,24.0
Other Income,,8.0,13.0,5.0,16.0,8.0,15.0,34.0,51.0,36.0
Interest,,1.0,7.0,7.0,8.0,14.0,20.0,16.0,18.0,19.0
Depreciation,,32.0,54.0,57.0,63.0,92.0,132.0,150.0,161.0,208.0
Profit before tax,,122.0,150.0,195.0,238.0,301.0,401.0,467.0,498.0,405.0
Tax %,,34.0,36.0,31.0,29.0,26.0,26.0,26.0,25.0,25.0
Net Profit,,80.0,96.0,135.0,169.0,224.0,297.0,347.0,372.0,303.0
EPS in Rs,,5.42,6.5,9.1,11.39,14.63,19.25,21.33,22.66,18.43
Dividend Payout %,,0.0,25.0,20.0,13.0,17.0,25.0,27.0,42.0,0.0
Sales Growth %,Sales,,17.24,20.68,-5.58,21.71,20.45,18.28,7.06,2.58
Material Cost %,Expenses,4.0,8.0,14.0,14.0,10.0,6.0,9.0,10.0,8.0
Manufacturing Cost %,Expenses,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,0.0
Employee Cost %,Expenses,24.0,19.0,16.0,15.0,15.0,14.0,15.0,14.0,15.0
Other Cost %,Expenses,52.0,52.0,48.0,46.0,48.0,48.0,45.0,46.0,53.0
Exceptional items,Other Income,1.78,3.46,1.67,0.91,2.6,4.08,10.42,17.46,-9.24
Other income normal,Other Income,5.97,9.7,3.39,14.92,5.31,10.64,23.6,33.22,45.66
Exceptional items AT,Net Profit,1.0,2.0,1.0,1.0,2.0,3.0,8.0,13.0,-7.0
Profit excl Excep,Net Profit,79.0,94.0,134.0,168.0,222.0,294.0,339.0,359.0,310.0
Profit for PE,Net Profit,79.0,94.0,134.0,168.0,222.0,294.0,339.0,359.0,310.0
Profit for EPS,Net Profit,80.0,96.0,135.0,169.0,224.0,297.0,347.0,372.0,303.0
Profit Growth %,Net Profit,,19.0,42.0,26.0,32.0,32.0,15.0,6.0,-14.0
