,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,2694.0,2423.0,2474.0,2634.0,2931.0,3056.0,1708.0,2388.0,3452.0,3479.0,3489.0
Expenses,,2343.0,2129.0,2178.0,2271.0,2441.0,2210.0,1540.0,1960.0,2647.0,2682.0,2736.0
Operating Profit,,351.0,294.0,296.0,364.0,490.0,846.0,169.0,427.0,804.0,797.0,753.0
OPM %,,13.0,12.0,12.0,14.0,17.0,28.0,10.0,18.0,23.0,23.0,22.0
Other Income,,75.0,97.0,18.0,49.0,66.0,66.0,87.0,54.0,39.0,19.0,186.0
Interest,,18.0,16.0,15.0,15.0,14.0,129.0,108.0,99.0,118.0,126.0,141.0
Depreciation,,79.0,79.0,65.0,60.0,64.0,296.0,265.0,242.0,295.0,339.0,371.0
Profit before tax,,329.0,297.0,234.0,337.0,478.0,487.0,-117.0,140.0,430.0,351.0,426.0
Tax %,,30.0,27.0,32.0,35.0,31.0,32.0,-23.0,26.0,25.0,25.0,22.0
Net Profit,,231.0,217.0,159.0,221.0,329.0,329.0,-89.0,103.0,323.0,263.0,331.0
EPS in Rs,,18.0,16.91,12.37,17.16,25.6,25.59,-6.95,8.01,25.13,20.42,25.73
Dividend Payout %,,18.0,21.0,28.0,23.0,24.0,16.0,-58.0,680.0,54.0,59.0,74.0
Sales Growth %,Sales,-10.07,2.13,6.46,11.27,4.26,-44.1,39.76,44.56,0.78,0.29,0.77
Material Cost %,Expenses,47.53,46.8,45.65,43.91,42.43,49.02,45.52,43.85,42.9,43.69,44.71
Manufacturing Cost %,Expenses,2.93,2.85,2.92,2.62,2.68,3.1,2.48,2.07,2.14,2.23,0.0
Employee Cost %,Expenses,10.79,11.92,11.22,11.3,12.32,19.89,15.86,12.13,12.07,13.25,12.86
Other Cost %,Expenses,26.61,26.47,26.41,25.46,14.89,18.1,18.24,18.64,19.98,19.25,22.33
Exceptional items AT,Net Profit,48.0,-17.0,-1.0,-1.0,-2.0,-7.0,0.0,1.0,-30.0,89.0,-32.0
Profit excl Excep,Net Profit,169.0,176.0,222.0,330.0,331.0,-82.0,103.0,322.0,293.0,242.0,166.0
Profit for PE,Net Profit,169.0,176.0,222.0,330.0,331.0,-82.0,103.0,322.0,293.0,242.0,166.0
Profit for EPS,Net Profit,217.0,159.0,221.0,329.0,329.0,-89.0,103.0,323.0,263.0,331.0,134.0
Profit Growth %,Net Profit,-20.0,4.0,26.0,49.0,0.0,-125.0,224.0,214.0,-9.0,-17.0,-31.0
