,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,888.0,998.0,1080.0,1143.0,1604.0,2273.0,3195.0,3763.0,4476.0,5361.0
Expenses,,377.0,410.0,550.0,524.0,787.0,1164.0,1572.0,1795.0,2214.0,2758.0
Operating Profit,,511.0,588.0,530.0,619.0,816.0,1109.0,1623.0,1968.0,2262.0,2604.0
OPM %,,58.0,59.0,49.0,54.0,51.0,49.0,51.0,52.0,51.0,49.0
Other Income,,57.0,77.0,101.0,94.0,75.0,106.0,176.0,266.0,353.0,266.0
Interest,,90.0,130.0,177.0,277.0,228.0,420.0,596.0,332.0,266.0,383.0
Depreciation,,82.0,157.0,171.0,202.0,271.0,370.0,391.0,436.0,547.0,614.0
Profit before tax,,396.0,377.0,284.0,234.0,393.0,426.0,811.0,1465.0,1803.0,1873.0
Tax %,,22.0,26.0,4.0,16.0,28.0,22.0,8.0,21.0,16.0,17.0
Net Profit,,310.0,281.0,272.0,197.0,285.0,330.0,750.0,1161.0,1521.0,1547.0
EPS in Rs,,54.6,44.09,43.93,31.37,48.0,54.02,3.97,5.5,7.16,7.25
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.0,12.0
Sales Growth %,Sales,,12.43,8.23,5.82,40.28,41.75,40.55,17.78,18.95,19.78
Manufacturing Cost %,Expenses,15.66,22.2,31.34,8.69,8.48,37.75,37.77,36.11,38.95,0.0
Employee Cost %,Expenses,6.84,5.75,5.56,6.57,6.97,6.6,7.22,7.58,5.4,4.45
Other Cost %,Expenses,19.96,13.15,14.0,30.58,33.64,6.83,4.23,4.02,5.11,46.98
Exceptional items,Other Income,7.0,7.0,11.0,13.0,4.0,1.0,-2.0,21.0,84.0,-80.0
Other income normal,Other Income,50.0,69.0,91.0,82.0,70.0,104.0,178.0,245.0,269.0,346.0
Minority share,Net Profit,0.0,-13.0,-5.0,-6.0,7.0,-2.0,-10.0,-5.0,-18.0,-24.0
Exceptional items AT,Net Profit,6.0,5.0,9.0,11.0,3.0,1.0,-2.0,16.0,65.0,-66.0
Profit excl Excep,Net Profit,305.0,276.0,263.0,186.0,281.0,330.0,751.0,1144.0,1457.0,1613.0
Profit for PE,Net Profit,305.0,263.0,258.0,180.0,288.0,327.0,741.0,1140.0,1439.0,1588.0
Profit for EPS,Net Profit,310.0,268.0,267.0,190.0,291.0,328.0,740.0,1156.0,1503.0,1523.0
Profit Growth %,Net Profit,,-14.0,-2.0,-30.0,60.0,14.0,127.0,54.0,26.0,10.0
