,parent_line_item,Jun 2015,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,4254.0,2960.0,4462.0,4969.0,5612.0,5512.0,6355.0,7773.0,9202.0,10134.0,10446.0
Expenses,,3588.0,2498.0,3700.0,4182.0,4827.0,4676.0,5071.0,6531.0,8002.0,8587.0,9015.0
Operating Profit,,666.0,462.0,762.0,787.0,785.0,835.0,1284.0,1242.0,1200.0,1547.0,1432.0
OPM %,,16.0,16.0,17.0,16.0,14.0,15.0,20.0,16.0,13.0,15.0,14.0
Other Income,,5.0,-4.0,8.0,38.0,89.0,32.0,163.0,224.0,183.0,173.0,178.0
Interest,,60.0,32.0,34.0,21.0,26.0,20.0,22.0,5.0,8.0,16.0,12.0
Depreciation,,139.0,105.0,154.0,167.0,184.0,206.0,213.0,230.0,263.0,298.0,359.0
Profit before tax,,472.0,322.0,582.0,637.0,664.0,641.0,1212.0,1232.0,1111.0,1405.0,1239.0
Tax %,,34.0,37.0,35.0,32.0,32.0,27.0,19.0,21.0,22.0,24.0,22.0
Net Profit,,322.0,221.0,430.0,432.0,449.0,467.0,978.0,968.0,865.0,1070.0,961.0
EPS in Rs,,25.38,17.43,33.88,33.99,35.32,36.8,77.0,76.24,68.12,84.21,75.64
Dividend Payout %,,35.0,43.0,44.0,35.0,37.0,38.0,29.0,31.0,38.0,36.0,45.0
Sales Growth %,Sales,7.38,50.75,11.37,12.93,-1.79,15.31,22.31,18.38,10.14,3.08,7.38
Material Cost %,Expenses,67.0,63.0,64.0,66.0,63.0,62.0,67.0,70.0,66.0,67.0,66.0
Manufacturing Cost %,Expenses,8.0,9.0,9.0,10.0,10.0,8.0,8.0,8.0,9.0,10.0,10.0
Employee Cost %,Expenses,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0
Other Cost %,Expenses,5.0,6.0,6.0,6.0,7.0,4.0,4.0,5.0,5.0,5.0,5.0
Exceptional items,Other Income,2.0,4.0,1.0,71.0,-0.0,4.0,8.0,25.0,48.0,50.0,28.0
Other income normal,Other Income,2.0,4.0,37.0,19.0,32.0,159.0,216.0,158.0,125.0,128.0,118.0
Profit from Associates,Net Profit,11.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exceptional items AT,Net Profit,2.0,3.0,0.0,48.0,-0.0,3.0,7.0,20.0,37.0,38.0,21.0
Profit excl Excep,Net Profit,321.0,428.0,431.0,401.0,468.0,975.0,962.0,846.0,1033.0,923.0,933.0
Profit for PE,Net Profit,321.0,428.0,431.0,401.0,468.0,975.0,962.0,846.0,1033.0,923.0,933.0
Profit for EPS,Net Profit,322.0,430.0,432.0,449.0,467.0,978.0,968.0,865.0,1070.0,961.0,954.0
Profit Growth %,Net Profit,14.0,90.0,1.0,-7.0,17.0,109.0,-1.0,-12.0,22.0,-11.0,1.0
