,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,120.0,1283.0,986.0,871.0,884.0,999.0,830.0,1502.0,2269.0,3252.0
Expenses,,10.0,988.0,736.0,654.0,668.0,840.0,742.0,1292.0,1929.0,2790.0
Operating Profit,,110.0,295.0,250.0,217.0,216.0,159.0,87.0,210.0,339.0,462.0
OPM %,,91.0,23.0,25.0,25.0,24.0,16.0,11.0,14.0,15.0,14.0
Other Income,,19.0,42.0,73.0,48.0,67.0,175.0,165.0,134.0,205.0,175.0
Interest,,21.0,25.0,13.0,7.0,9.0,7.0,11.0,17.0,11.0,19.0
Depreciation,,37.0,42.0,42.0,42.0,41.0,7.0,8.0,8.0,8.0,17.0
Profit before tax,,70.0,271.0,268.0,216.0,232.0,319.0,233.0,319.0,525.0,600.0
Tax %,,20.0,24.0,28.0,17.0,22.0,19.0,20.0,16.0,20.0,21.0
Net Profit,,56.0,206.0,193.0,179.0,182.0,264.0,187.0,268.0,423.0,474.0
EPS in Rs,,0.63,2.31,17.16,16.28,16.53,23.99,17.36,24.95,36.37,40.75
Dividend Payout %,,0.0,0.0,0.0,0.0,61.0,8.0,35.0,28.0,25.0,17.0
Sales Growth %,Sales,,966.35,-23.14,-11.62,1.39,13.08,-16.98,81.12,51.0,43.33
Material Cost %,Expenses,0.0,69.0,-1.0,1.0,0.0,75.0,75.0,77.0,78.0,79.0
Manufacturing Cost %,Expenses,6.0,1.0,67.0,65.0,66.0,0.0,0.0,0.0,0.0,0.0
Employee Cost %,Expenses,1.0,3.0,4.0,5.0,4.0,3.0,5.0,3.0,3.0,3.0
Other Cost %,Expenses,2.0,4.0,4.0,4.0,5.0,6.0,8.0,5.0,4.0,4.0
Exceptional items,Other Income,0.0,0.0,0.0,25.0,46.0,21.0,91.0,-3.0,45.0,25.0
Other income normal,Other Income,19.0,42.0,73.0,23.0,21.0,154.0,74.0,136.0,160.0,150.0
Profit from Associates,Net Profit,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Exceptional items AT,Net Profit,0.0,0.0,0.0,20.0,36.0,0.0,0.0,0.0,45.0,25.0
Profit excl Excep,Net Profit,56.0,206.0,193.0,159.0,146.0,264.0,187.0,268.0,378.0,449.0
Profit for PE,Net Profit,56.0,206.0,193.0,159.0,146.0,264.0,187.0,268.0,378.0,449.0
Profit for EPS,Net Profit,56.0,206.0,193.0,179.0,182.0,264.0,187.0,268.0,423.0,474.0
Profit Growth %,Net Profit,,269.0,-6.0,-18.0,-8.0,81.0,-29.0,44.0,41.0,19.0
