,parent_line_item,Dec 2011,Dec 2012,Dec 2024,Dec 2025
Sales,,7449.0,7608.0,12188.0,13203.0
Expenses,,7093.0,7253.0,9877.0,11158.0
Operating Profit,,356.0,355.0,2311.0,2045.0
OPM %,,4.8,4.7,19.0,15.0
Other Income,,38.0,7.0,344.0,349.0
Interest,,46.0,57.0,16.0,20.0
Depreciation,,80.0,94.0,129.0,146.0
Profit before tax,,268.0,211.0,2510.0,2229.0
Tax %,,31.0,33.0,25.0,25.0
Net Profit,,185.0,141.0,1872.0,1668.0
EPS in Rs,,8.72,6.65,88.33,78.73
Dividend Payout %,,34.0,45.0,50.0,50.0
Sales Growth %,Sales,,2.13,,8.32
Material Cost %,Expenses,67.0,65.0,55.0,58.0
Manufacturing Cost %,Expenses,8.0,8.0,5.0,6.0
Employee Cost %,Expenses,8.0,8.0,7.0,7.0
Other Cost %,Expenses,13.0,14.0,14.0,14.0
Exceptional items,Other Income,-4.0,2.0,-9.0,-3.0
Other income normal,Other Income,41.0,6.0,353.0,352.0
Exceptional items AT,Net Profit,-2.0,1.0,-5.0,-1.0
Profit excl Excep,Net Profit,187.0,140.0,1876.0,1670.0
Profit for PE,Net Profit,187.0,140.0,1876.0,1670.0
Profit for EPS,Net Profit,185.0,141.0,1872.0,1668.0
Profit Growth %,Net Profit,,-25.0,,-11.0
