,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,590.0,698.0,773.0,1094.0,1429.0,1625.0,2061.0,2315.0
Expenses,,535.0,601.0,582.0,836.0,1070.0,1289.0,1706.0,1912.0
Operating Profit,,55.0,97.0,191.0,258.0,359.0,336.0,354.0,403.0
OPM %,,9.0,14.0,25.0,24.0,25.0,21.0,17.0,17.0
Other Income,,-1.0,5.0,24.0,31.0,15.0,99.0,89.0,66.0
Interest,,16.0,8.0,7.0,10.0,22.0,42.0,99.0,97.0
Depreciation,,25.0,20.0,23.0,33.0,42.0,58.0,89.0,88.0
Profit before tax,,13.0,74.0,186.0,246.0,310.0,335.0,255.0,284.0
Tax %,,-9.0,3.0,13.0,26.0,25.0,26.0,28.0,25.0
Net Profit,,14.0,72.0,162.0,181.0,231.0,248.0,185.0,213.0
EPS in Rs,,3.82,14.52,11.06,12.34,15.73,16.31,12.13,13.96
Dividend Payout %,,0.0,0.0,26.0,30.0,34.0,35.0,49.0,45.0
Sales Growth %,Sales,,18.27,10.77,41.41,30.69,13.67,26.85,12.34
Manufacturing Cost %,Expenses,12.0,12.0,11.0,14.0,12.0,10.0,8.0,0.0
Employee Cost %,Expenses,65.0,63.0,59.0,57.0,56.0,63.0,66.0,67.0
Other Cost %,Expenses,14.0,11.0,6.0,5.0,6.0,7.0,9.0,15.0
Exceptional items,Other Income,-13.0,-11.0,0.0,-6.0,-6.0,14.0,-12.0,-19.0
Other income normal,Other Income,11.0,16.0,24.0,37.0,21.0,85.0,101.0,85.0
Exceptional items AT,Net Profit,-13.0,-11.0,-0.0,-4.0,-5.0,10.0,-8.0,-13.0
Profit excl Excep,Net Profit,27.0,83.0,162.0,186.0,236.0,238.0,193.0,226.0
Profit for PE,Net Profit,27.0,83.0,162.0,186.0,236.0,238.0,193.0,226.0
Profit for EPS,Net Profit,14.0,72.0,162.0,181.0,231.0,248.0,185.0,213.0
Profit Growth %,Net Profit,,208.0,96.0,14.0,27.0,1.0,-19.0,17.0
