,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,463.0,486.0,733.0,893.0,1073.0,1302.0,1500.0
Expenses,,379.0,419.0,580.0,691.0,831.0,999.0,1156.0
Operating Profit,,84.0,67.0,153.0,201.0,242.0,303.0,343.0
OPM %,,18.0,14.0,21.0,23.0,23.0,23.0,23.0
Other Income,,0.0,4.0,4.0,8.0,22.0,25.0,37.0
Interest,,26.0,39.0,44.0,42.0,26.0,11.0,33.0
Depreciation,,26.0,31.0,36.0,39.0,42.0,57.0,88.0
Profit before tax,,33.0,2.0,77.0,129.0,195.0,261.0,260.0
Tax %,,10.0,248.0,34.0,43.0,10.0,26.0,25.0
Net Profit,,30.0,-2.0,51.0,73.0,177.0,194.0,194.0
EPS in Rs,,1.17,-0.09,2.01,2.58,5.39,5.89,5.92
Dividend Payout %,,0.0,0.0,0.0,0.0,4.0,3.0,3.0
Sales Growth %,Sales,,5.01,50.8,21.75,20.27,21.33,15.16
Material Cost %,Expenses,17.25,20.25,19.4,17.61,17.65,19.62,19.15
Manufacturing Cost %,Expenses,13.23,13.68,12.05,12.48,11.72,11.28,11.51
Employee Cost %,Expenses,20.03,21.47,18.25,17.44,17.69,17.3,17.1
Other Cost %,Expenses,31.26,30.79,29.38,29.92,30.38,28.54,29.34
Exceptional items,Other Income,-1.78,0.0,0.12,-2.04,0.0,3.45,6.22
Other income normal,Other Income,1.89,4.11,3.71,10.26,22.05,21.98,31.08
Minority share,Net Profit,0.0,0.0,0.0,0.0,0.0,-1.0,-0.0
Exceptional items AT,Net Profit,-1.0,0.0,0.0,-1.0,0.0,3.0,5.0
Profit excl Excep,Net Profit,31.0,-2.0,51.0,74.0,177.0,191.0,190.0
Profit for PE,Net Profit,31.0,-2.0,51.0,74.0,177.0,191.0,189.0
Profit for EPS,Net Profit,30.0,-2.0,51.0,73.0,177.0,193.0,194.0
Profit Growth %,Net Profit,,-107.0,2320.0,45.0,138.0,8.0,-1.0
