,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,251.0,293.0,339.0,377.0,462.0,459.0,548.0,681.0,814.0
Expenses,,171.0,184.0,206.0,211.0,259.0,277.0,327.0,408.0,477.0
Operating Profit,,80.0,108.0,133.0,166.0,204.0,182.0,221.0,273.0,337.0
OPM %,,32.0,37.0,39.0,44.0,44.0,40.0,40.0,40.0,41.0
Other Income,,7.0,10.0,15.0,12.0,13.0,14.0,19.0,17.0,21.0
Interest,,5.0,14.0,15.0,15.0,16.0,21.0,24.0,27.0,33.0
Depreciation,,26.0,40.0,49.0,50.0,53.0,62.0,57.0,71.0,92.0
Profit before tax,,55.0,65.0,83.0,112.0,147.0,114.0,159.0,193.0,233.0
Tax %,,37.0,29.0,25.0,24.0,25.0,25.0,25.0,26.0,26.0
Net Profit,,35.0,46.0,63.0,85.0,111.0,85.0,120.0,144.0,173.0
EPS in Rs,,77.44,101.29,138.0,18.64,10.76,8.29,11.61,13.94,16.81
Dividend Payout %,,0.0,0.0,0.0,0.0,9.0,12.0,9.0,14.0,12.0
Sales Growth %,Sales,,16.78,15.8,11.19,22.73,-0.68,19.29,24.38,19.49
Material Cost %,Expenses,14.59,13.84,12.97,15.15,15.46,12.82,11.95,12.44,11.63
Manufacturing Cost %,Expenses,14.5,8.14,8.91,8.75,7.84,9.6,9.58,8.78,0.0
Employee Cost %,Expenses,16.75,18.41,18.42,15.24,15.4,17.21,16.57,16.54,16.06
Other Cost %,Expenses,22.41,22.66,20.56,16.8,17.25,20.72,21.58,22.14,30.93
Exceptional items,Other Income,-0.05,1.27,6.39,0.31,0.87,0.95,15.56,6.86,0.0
Other income normal,Other Income,6.74,9.09,8.97,11.54,11.95,13.2,3.21,10.43,20.8
Minority share,Net Profit,0.0,-0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0
Exceptional items AT,Net Profit,-0.0,1.0,5.0,0.0,1.0,1.0,12.0,5.0,0.0
Profit excl Excep,Net Profit,35.0,45.0,58.0,85.0,110.0,84.0,108.0,139.0,173.0
Profit for PE,Net Profit,35.0,45.0,58.0,84.0,109.0,84.0,107.0,138.0,173.0
Profit for EPS,Net Profit,35.0,46.0,63.0,84.0,110.0,85.0,119.0,143.0,173.0
Profit Growth %,Net Profit,,28.0,29.0,46.0,29.0,-23.0,28.0,29.0,25.0
