,parent_line_item,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,6299.0,6290.0,7264.0,8246.0
Expenses,,5115.0,4446.0,5695.0,6800.0
Operating Profit,,1184.0,1844.0,1569.0,1446.0
OPM %,,19.0,29.0,22.0,18.0
Other Income,,112.0,175.0,167.0,120.0
Interest,,9.0,13.0,14.0,21.0
Depreciation,,231.0,277.0,352.0,410.0
Profit before tax,,1056.0,1728.0,1370.0,1135.0
Tax %,,25.0,26.0,24.0,26.0
Net Profit,,790.0,1285.0,1040.0,841.0
EPS in Rs,,79.98,130.06,105.34,85.15
Dividend Payout %,,20.0,23.0,28.0,0.0
Sales Growth %,Sales,,-0.15,15.48,13.52
Exceptional items,Other Income,0.0,103.0,90.0,0.0
Other income normal,Other Income,112.0,72.0,77.0,120.0
Minority share,Net Profit,0.0,0.0,0.0,1.0
Exceptional items AT,Net Profit,0.0,77.0,67.0,0.0
Profit excl Excep,Net Profit,790.0,1208.0,973.0,841.0
Profit for PE,Net Profit,790.0,1208.0,973.0,841.0
Profit for EPS,Net Profit,790.0,1285.0,1041.0,841.0
Profit Growth %,Net Profit,,53.0,-19.0,-14.0
