,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2024,Mar 2025,Mar 2026
Sales,,9955.0,9437.0,20094.0,23609.0,26041.0,27104.0,24516.0,28965.0,38937.0,33160.0,35336.0
Expenses,,8022.0,7895.0,16913.0,19751.0,22030.0,22507.0,19511.0,22755.0,33815.0,26760.0,29366.0
Operating Profit,,1934.0,1542.0,3181.0,3858.0,4011.0,4597.0,5006.0,6210.0,5122.0,6400.0,5971.0
OPM %,,19.0,16.0,16.0,16.0,15.0,17.0,20.0,21.0,13.0,19.0,17.0
Other Income,,419.0,353.0,441.0,335.0,232.0,601.0,288.0,252.0,447.0,1401.0,2646.0
Interest,,66.0,92.0,153.0,206.0,170.0,170.0,140.0,146.0,195.0,276.0,216.0
Depreciation,,513.0,630.0,1461.0,1219.0,1154.0,1153.0,1162.0,1152.0,1645.0,1628.0,2297.0
Profit before tax,,1774.0,1173.0,2008.0,2768.0,2919.0,3875.0,3992.0,5164.0,3729.0,5896.0,6104.0
Tax %,,16.0,31.0,29.0,30.0,-2.0,28.0,22.0,28.0,19.0,20.0,13.0
Net Profit,,1487.0,808.0,1434.0,1945.0,2973.0,2783.0,3107.0,3711.0,3024.0,4735.0,5294.0
EPS in Rs,,9.59,5.21,5.57,7.64,10.97,10.55,11.91,14.0,13.01,16.26,17.47
Dividend Payout %,,46.0,54.0,50.0,47.0,14.0,14.0,151.0,45.0,19.0,12.0,11.0
Sales Growth %,Sales,8.68,-5.21,112.93,17.49,10.3,4.08,-9.55,18.15,-14.84,6.56,15.05
Material Cost %,Expenses,8.61,8.81,11.6,11.76,12.43,13.59,12.74,10.23,16.66,18.47,16.58
Manufacturing Cost %,Expenses,32.08,30.61,28.11,28.53,28.61,27.94,25.57,30.04,31.7,30.86,33.02
Employee Cost %,Expenses,5.89,6.29,6.82,6.4,5.85,5.8,6.28,5.28,4.08,3.97,3.94
Other Cost %,Expenses,34.01,37.94,37.64,36.98,37.7,35.71,34.99,33.02,28.26,29.8,30.28
Exceptional items,Other Income,87.0,148.0,286.0,34.0,-150.0,3.0,-163.0,-120.0,344.0,42.0,-336.0
Other income normal,Other Income,332.0,205.0,154.0,301.0,383.0,598.0,451.0,372.0,1057.0,2604.0,852.0
Minority share,Net Profit,-0.0,0.0,-329.0,-429.0,-795.0,-688.0,-741.0,-931.0,-1161.0,-991.0,-909.0
Exceptional items AT,Net Profit,64.0,102.0,192.0,24.0,-102.0,2.0,-114.0,-86.0,261.0,31.0,-320.0
Profit excl Excep,Net Profit,1423.0,706.0,1243.0,1921.0,3075.0,2781.0,3221.0,3797.0,4474.0,5263.0,5958.0
Profit for PE,Net Profit,1423.0,706.0,958.0,1498.0,2252.0,2093.0,2452.0,2845.0,3377.0,4278.0,4997.0
Profit for EPS,Net Profit,1486.0,808.0,1105.0,1516.0,2177.0,2095.0,2365.0,2780.0,3573.0,4303.0,4728.0
Profit Growth %,Net Profit,19.0,-50.0,36.0,56.0,50.0,-7.0,17.0,16.0,21.0,27.0,17.0
