,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1881.0,2172.0,2338.0,3152.0,4077.0,5308.0,6880.0
Expenses,,1603.0,1888.0,2091.0,2788.0,3518.0,4532.0,6060.0
Operating Profit,,278.0,284.0,247.0,364.0,559.0,776.0,820.0
OPM %,,15.0,13.0,11.0,12.0,14.0,15.0,12.0
Other Income,,22.0,19.0,20.0,19.0,56.0,48.0,32.0
Interest,,146.0,138.0,139.0,189.0,246.0,300.0,219.0
Depreciation,,32.0,34.0,37.0,46.0,50.0,56.0,66.0
Profit before tax,,121.0,132.0,91.0,148.0,318.0,467.0,567.0
Tax %,,15.0,25.0,28.0,27.0,27.0,30.0,29.0
Net Profit,,102.0,98.0,65.0,108.0,233.0,327.0,404.0
EPS in Rs,,242.83,129.7,28.49,47.18,18.81,24.33,30.06
Dividend Payout %,,0.0,0.0,0.0,0.0,8.0,3.0,7.0
Sales Growth %,Sales,,15.52,7.6,34.85,29.32,30.2,29.62
Material Cost %,Expenses,49.0,48.58,50.83,57.52,54.47,48.4,44.71
Manufacturing Cost %,Expenses,8.62,8.9,7.71,13.56,14.87,19.48,0.0
Employee Cost %,Expenses,6.81,6.19,6.82,5.7,4.89,4.9,4.74
Other Cost %,Expenses,20.81,23.26,24.07,11.67,12.06,12.61,38.63
Exceptional items,Other Income,2.59,-0.83,0.01,-1.94,4.25,1.59,-17.38
Other income normal,Other Income,19.45,19.75,19.57,20.77,51.54,46.4,49.34
Profit from Associates,Net Profit,-1.0,-1.0,-0.0,0.0,0.0,0.0,0.0
Exceptional items AT,Net Profit,2.0,-1.0,0.0,-1.0,3.0,1.0,-12.0
Profit excl Excep,Net Profit,100.0,99.0,65.0,109.0,230.0,325.0,416.0
Profit for PE,Net Profit,100.0,99.0,65.0,109.0,230.0,325.0,416.0
Profit for EPS,Net Profit,102.0,98.0,65.0,108.0,233.0,327.0,404.0
Profit Growth %,Net Profit,,-1.0,-35.0,68.0,111.0,41.0,28.0
