,parent_line_item,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Sales,,822.0,632.0,978.0,1314.0,1438.0,1034.0
Expenses,,443.0,562.0,678.0,786.0,838.0,779.0
Operating Profit,,379.0,70.0,300.0,528.0,600.0,256.0
OPM %,,46.0,11.0,31.0,40.0,42.0,25.0
Other Income,,317.0,252.0,221.0,178.0,191.0,181.0
Interest,,0.0,0.0,3.0,0.0,0.0,0.0
Depreciation,,45.0,53.0,55.0,62.0,67.0,96.0
Profit before tax,,650.0,270.0,463.0,643.0,724.0,340.0
Tax %,,34.0,36.0,34.0,35.0,34.0,27.0
Net Profit,,428.0,173.0,307.0,417.0,478.0,248.0
EPS in Rs,,12.73,5.14,11.54,16.2,18.57,10.46
Dividend Payout %,,33.0,49.0,48.0,34.0,32.0,57.0
Sales Growth %,Sales,,-23.02,54.57,34.42,9.43,-28.07
Material Cost %,Expenses,-8.61,0.54,7.66,3.75,2.61,-2.89
Manufacturing Cost %,Expenses,22.97,28.07,18.55,14.74,15.77,22.77
Employee Cost %,Expenses,32.0,47.64,31.49,30.92,29.79,44.74
Other Cost %,Expenses,7.52,12.59,11.63,10.41,10.09,10.68
Exceptional items,Other Income,0.0,0.0,0.0,0.0,4.0,7.0
Other income normal,Other Income,317.0,252.0,221.0,178.0,187.0,174.0
Exceptional items AT,Net Profit,0.0,0.0,0.0,0.0,3.0,5.0
Profit excl Excep,Net Profit,428.0,173.0,307.0,417.0,476.0,243.0
Profit for PE,Net Profit,428.0,173.0,307.0,417.0,476.0,243.0
Profit for EPS,Net Profit,428.0,173.0,307.0,417.0,478.0,248.0
Profit Growth %,Net Profit,,-60.0,78.0,36.0,14.0,-49.0
