,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,34.0,59.0,102.0,230.0,644.0,1024.0,1735.0,2696.0
Expenses,,19.0,32.0,44.0,121.0,435.0,687.0,1172.0,1738.0
Operating Profit,,15.0,27.0,58.0,109.0,208.0,337.0,564.0,958.0
OPM %,,45.0,46.0,57.0,47.0,32.0,33.0,32.0,36.0
Other Income,,6.0,0.0,0.0,1.0,3.0,7.0,17.0,48.0
Interest,,4.0,8.0,16.0,37.0,47.0,86.0,79.0,182.0
Depreciation,,4.0,7.0,13.0,14.0,23.0,40.0,61.0,133.0
Profit before tax,,13.0,12.0,30.0,59.0,142.0,217.0,441.0,691.0
Tax %,,31.0,46.0,27.0,27.0,23.0,26.0,26.0,26.0
Net Profit,,9.0,6.0,22.0,43.0,110.0,162.0,325.0,509.0
EPS in Rs,,0.55,0.4,1.35,2.66,6.74,8.94,16.23,24.13
Dividend Payout %,,0.0,0.0,0.0,4.0,9.0,3.0,5.0,4.0
Sales Growth %,Sales,,72.0,73.0,125.0,180.0,59.0,69.0,55.0
Material Cost %,Expenses,-11.0,-2.0,-1.0,-0.0,-0.0,-0.0,-1.0,52.0
Manufacturing Cost %,Expenses,48.0,39.0,33.0,47.0,64.0,62.0,61.0,0.0
Employee Cost %,Expenses,3.0,4.0,3.0,2.0,1.0,2.0,3.0,2.0
Other Cost %,Expenses,15.0,13.0,8.0,4.0,2.0,4.0,4.0,10.0
Exceptional items,Other Income,5.75,-0.08,-0.11,-0.11,-0.46,-0.12,-2.6,2.21
Other income normal,Other Income,0.1,0.29,0.44,1.58,3.23,6.73,19.7,45.61
Minority share,Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-33.0
Exceptional items AT,Net Profit,4.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.0,2.0
Profit excl Excep,Net Profit,5.0,6.0,22.0,43.0,110.0,162.0,327.0,508.0
Profit for PE,Net Profit,5.0,6.0,22.0,43.0,110.0,162.0,321.0,475.0
Profit for EPS,Net Profit,9.0,6.0,22.0,43.0,110.0,162.0,320.0,476.0
Profit Growth %,Net Profit,,32.0,240.0,97.0,154.0,47.0,99.0,48.0
