,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1652.0,2892.0,2938.0,2061.0,3170.0,2861.0,2728.0,3809.0,5091.0,7718.0,9246.0
Expenses,,1561.0,2700.0,2726.0,1796.0,2843.0,2523.0,2515.0,3516.0,4691.0,6973.0,8386.0
Operating Profit,,91.0,192.0,212.0,264.0,327.0,338.0,213.0,293.0,400.0,745.0,860.0
OPM %,,6.0,7.0,7.0,13.0,10.0,12.0,8.0,8.0,8.0,10.0,9.0
Other Income,,114.0,-102.0,23.0,7.0,14.0,-10.0,45.0,45.0,63.0,64.0,78.0
Interest,,136.0,138.0,89.0,88.0,124.0,130.0,138.0,142.0,165.0,218.0,236.0
Depreciation,,43.0,37.0,46.0,58.0,82.0,137.0,100.0,103.0,114.0,208.0,194.0
Profit before tax,,27.0,-85.0,99.0,126.0,134.0,60.0,20.0,94.0,184.0,383.0,508.0
Tax %,,28.0,-30.0,48.0,42.0,38.0,27.0,20.0,26.0,32.0,28.0,27.0
Net Profit,,19.0,-59.0,51.0,73.0,83.0,44.0,16.0,69.0,125.0,274.0,373.0
EPS in Rs,,1.25,-3.82,3.28,4.69,4.77,2.51,0.92,4.01,7.23,15.93,21.7
Dividend Payout %,,0.0,0.0,9.0,9.0,8.0,12.0,13.0,11.0,10.0,11.0,9.0
Sales Growth %,Sales,8.37,75.04,1.6,-29.86,-9.77,-4.65,39.64,33.65,51.6,19.8,8.81
Material Cost %,Expenses,38.98,27.99,22.44,30.21,37.25,31.28,32.54,34.78,37.83,34.87,33.35
Manufacturing Cost %,Expenses,33.91,51.44,51.06,33.4,33.68,40.28,43.74,41.56,39.04,42.45,42.14
Employee Cost %,Expenses,11.72,7.69,7.56,12.5,12.12,12.66,9.79,9.48,8.03,7.82,8.78
Other Cost %,Expenses,9.86,6.24,11.75,11.08,5.13,7.97,6.24,6.31,5.45,5.55,5.63
Exceptional items,Other Income,95.0,-116.0,-4.0,-28.0,-43.0,3.0,3.0,1.0,6.0,15.0,13.0
Other income normal,Other Income,18.0,14.0,27.0,35.0,32.0,42.0,42.0,62.0,58.0,64.0,170.0
Minority share,Net Profit,0.0,0.0,-0.0,-0.0,-1.0,-0.0,-1.0,-0.0,-0.0,0.0,0.0
Exceptional items AT,Net Profit,79.0,-113.0,-2.0,-16.0,-31.0,2.0,2.0,1.0,4.0,11.0,9.0
Profit excl Excep,Net Profit,-60.0,54.0,53.0,89.0,75.0,14.0,67.0,124.0,270.0,362.0,588.0
Profit for PE,Net Profit,-60.0,54.0,53.0,89.0,74.0,14.0,67.0,124.0,270.0,362.0,588.0
Profit for EPS,Net Profit,19.0,-59.0,51.0,73.0,43.0,16.0,69.0,124.0,274.0,373.0,598.0
Profit Growth %,Net Profit,-752.0,190.0,-2.0,68.0,-12.0,-81.0,388.0,85.0,118.0,34.0,62.0
