,parent_line_item,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2024,Mar 2025,Mar 2026
Sales,,1825.0,2033.0,2192.0,1762.0,1471.0,2112.0,3136.0,2769.0,2485.0
Expenses,,1539.0,1705.0,1866.0,1347.0,1096.0,1564.0,2371.0,2066.0,1720.0
Operating Profit,,287.0,328.0,326.0,415.0,375.0,548.0,765.0,702.0,765.0
OPM %,,16.0,16.0,15.0,24.0,25.0,26.0,24.0,25.0,31.0
Other Income,,40.0,8.0,15.0,862.0,36.0,335.0,113.0,85.0,75.0
Interest,,116.0,116.0,103.0,86.0,6.0,3.0,6.0,7.0,13.0
Depreciation,,195.0,206.0,199.0,177.0,176.0,181.0,253.0,201.0,214.0
Profit before tax,,16.0,13.0,39.0,1013.0,229.0,698.0,618.0,579.0,614.0
Tax %,,-20.0,-21.0,35.0,28.0,34.0,27.0,13.0,25.0,26.0
Net Profit,,19.0,16.0,26.0,727.0,151.0,507.0,538.0,434.0,455.0
EPS in Rs,,2.23,1.9,3.01,85.27,17.72,59.47,63.09,50.9,53.33
Dividend Payout %,,34.0,53.0,50.0,12.0,17.0,23.0,19.0,24.0,22.0
Sales Growth %,Sales,,11.38,7.8,-19.61,-16.5,43.56,-11.7,-10.23,1.82
Material Cost %,Expenses,13.51,13.44,17.9,23.74,23.51,32.53,35.06,22.8,22.4
Manufacturing Cost %,Expenses,48.11,48.25,43.19,23.09,25.61,20.79,18.43,22.79,18.24
Employee Cost %,Expenses,5.41,5.73,5.81,6.45,4.68,2.41,1.98,2.21,2.29
Other Cost %,Expenses,17.27,16.47,18.22,23.18,20.73,18.34,19.16,21.41,21.14
Exceptional items,Other Income,16.0,-6.0,0.0,843.0,2.0,274.0,6.0,4.0,1.0
Other income normal,Other Income,24.0,14.0,15.0,19.0,34.0,60.0,78.0,70.0,73.0
Exceptional items AT,Net Profit,12.0,-5.0,0.0,605.0,1.0,199.0,5.0,6.0,1.0
Profit excl Excep,Net Profit,7.0,21.0,25.0,122.0,150.0,308.0,430.0,449.0,548.0
Profit for PE,Net Profit,7.0,21.0,25.0,122.0,150.0,308.0,430.0,449.0,548.0
Profit for EPS,Net Profit,19.0,16.0,26.0,727.0,151.0,507.0,434.0,455.0,549.0
Profit Growth %,Net Profit,,200.0,22.0,379.0,23.0,105.0,-19.0,5.0,22.0
