,parent_line_item,Dec 2023,Mar 2025,Mar 2026
Sales,,19126.0,24394.0,20202.0
Expenses,,14655.0,18551.0,15454.0
Operating Profit,,4471.0,5843.0,4747.0
OPM %,,23.0,24.0,24.0
Other Income,,116.0,159.0,245.0
Interest,,119.0,145.0,136.0
Depreciation,,429.0,568.0,540.0
Profit before tax,,4038.0,5289.0,4316.0
Tax %,,26.0,26.0,26.0
Net Profit,,2999.0,3933.0,3208.0
EPS in Rs,,15.55,20.4,16.63
Dividend Payout %,,56.0,79.0,81.0
Sales Growth %,Sales,,-17.19,14.62
Material Cost %,Expenses,44.09,37.16,38.63
Manufacturing Cost %,Expenses,0.0,10.48,10.38
Employee Cost %,Expenses,9.67,10.02,9.49
Other Cost %,Expenses,22.87,18.85,18.77
Exceptional items,Other Income,-6.0,186.0,125.0
Other income normal,Other Income,121.0,59.0,35.0
Exceptional items AT,Net Profit,-4.0,138.0,96.0
Profit excl Excep,Net Profit,3003.0,3070.0,3403.0
Profit for PE,Net Profit,3003.0,3070.0,3403.0
Profit for EPS,Net Profit,2999.0,3208.0,3499.0
Profit Growth %,Net Profit,,-22.0,11.0
