,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,9701.0,10435.0,11690.0,12085.0,9842.0,9716.0,11782.0,14929.0,16727.0,18087.0,20035.0
Expenses,,7823.0,8473.0,9597.0,9931.0,8358.0,8555.0,10325.0,13120.0,14632.0,15778.0,17384.0
Operating Profit,,1878.0,1963.0,2093.0,2154.0,1483.0,1162.0,1457.0,1810.0,2095.0,2310.0,2650.0
OPM %,,19.0,19.0,18.0,18.0,15.0,12.0,12.0,12.0,13.0,13.0,13.0
Other Income,,623.0,912.0,418.0,600.0,-105.0,-241.0,396.0,470.0,1566.0,815.0,1410.0
Interest,,13.0,27.0,3.0,13.0,10.0,14.0,29.0,12.0,51.0,17.0,27.0
Depreciation,,386.0,456.0,467.0,402.0,383.0,341.0,324.0,386.0,430.0,376.0,392.0
Profit before tax,,2102.0,2391.0,2041.0,2339.0,985.0,565.0,1500.0,1882.0,3181.0,2732.0,3642.0
Tax %,,27.0,27.0,33.0,32.0,34.0,15.0,19.0,24.0,22.0,26.0,24.0
Net Profit,,1534.0,1740.0,1371.0,1598.0,650.0,482.0,1218.0,1426.0,2491.0,2015.0,2773.0
EPS in Rs,,488.42,570.17,449.24,541.91,220.22,163.43,413.07,483.33,844.69,683.27,940.27
Dividend Payout %,,17.0,29.0,22.0,19.0,48.0,70.0,51.0,99.0,44.0,75.0,29.0
Sales Growth %,Sales,,7.56,12.03,3.38,-18.56,-1.27,21.26,26.72,12.04,8.13,10.77
Material Cost %,Expenses,51.0,51.0,54.0,55.0,54.0,60.0,62.0,63.0,65.0,63.0,64.0
Manufacturing Cost %,Expenses,5.0,5.0,7.0,7.0,7.0,7.0,6.0,5.0,4.0,4.0,4.0
Employee Cost %,Expenses,13.0,13.0,12.0,11.0,13.0,10.0,9.0,8.0,8.0,8.0,8.0
Other Cost %,Expenses,11.0,12.0,10.0,8.0,11.0,12.0,10.0,12.0,11.0,12.0,11.0
Exceptional items,Other Income,247.0,-2.0,-91.0,1.0,-645.0,-745.0,3.0,-3.0,844.0,1.0,556.0
Other income normal,Other Income,376.0,914.0,509.0,599.0,540.0,504.0,393.0,473.0,722.0,814.0,854.0
Profit from Associates,Net Profit,2.0,-1.0,0.0,0.0,-0.0,1.0,1.0,1.0,1.0,2.0,3.0
Exceptional items AT,Net Profit,169.0,-2.0,-59.0,1.0,-454.0,-491.0,2.0,-2.0,648.0,2.0,686.0
Profit excl Excep,Net Profit,1364.0,1742.0,1431.0,1598.0,1104.0,973.0,1216.0,1428.0,1844.0,2013.0,2088.0
Profit for PE,Net Profit,1364.0,1742.0,1431.0,1598.0,1104.0,973.0,1216.0,1428.0,1844.0,2013.0,2088.0
Profit for EPS,Net Profit,1534.0,1740.0,1371.0,1598.0,650.0,482.0,1218.0,1426.0,2491.0,2015.0,2773.0
Profit Growth %,Net Profit,,28.0,-18.0,12.0,-31.0,-12.0,25.0,17.0,29.0,9.0,4.0
