,parent_line_item,Jun 2015,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,252.0,239.0,402.0,540.0,649.0,863.0,1061.0,1269.0,1467.0,1694.0,1937.0
Expenses,,192.0,175.0,276.0,345.0,417.0,603.0,732.0,874.0,1025.0,1142.0,1287.0
Operating Profit,,60.0,64.0,125.0,195.0,232.0,260.0,329.0,395.0,442.0,552.0,651.0
OPM %,,24.0,27.0,31.0,36.0,36.0,30.0,31.0,31.0,30.0,33.0,34.0
Other Income,,3.0,4.0,10.0,13.0,19.0,41.0,23.0,38.0,55.0,66.0,92.0
Interest,,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0
Depreciation,,8.0,7.0,13.0,19.0,23.0,32.0,37.0,47.0,45.0,53.0,66.0
Profit before tax,,53.0,60.0,121.0,188.0,227.0,269.0,314.0,386.0,451.0,564.0,677.0
Tax %,,23.0,24.0,21.0,23.0,22.0,20.0,20.0,20.0,16.0,18.0,20.0
Net Profit,,41.0,46.0,96.0,145.0,177.0,215.0,251.0,308.0,377.0,461.0,541.0
EPS in Rs,,5.43,6.05,12.65,19.15,23.35,28.42,32.03,39.56,49.57,60.19,70.56
Dividend Payout %,,18.0,20.0,12.0,10.0,9.0,9.0,9.0,10.0,9.0,8.0,8.0
Sales Growth %,Sales,45.46,68.25,34.41,20.16,33.07,22.95,19.61,15.54,15.5,14.37,12.89
Material Cost %,Expenses,53.87,46.04,44.12,44.52,47.86,44.45,43.92,45.22,42.75,39.79,39.58
Manufacturing Cost %,Expenses,7.46,6.78,4.88,4.62,3.66,3.2,3.63,3.91,4.93,4.52,0.0
Employee Cost %,Expenses,7.46,7.67,7.25,7.26,7.85,9.66,9.08,9.34,8.48,9.17,9.11
Other Cost %,Expenses,7.5,8.33,7.57,7.86,10.49,11.67,12.25,11.42,11.24,12.93,16.53
Exceptional items,Other Income,-0.0,-0.0,2.0,2.0,5.0,6.0,1.0,1.0,1.0,0.0,0.0
Other income normal,Other Income,3.0,10.0,11.0,17.0,36.0,17.0,37.0,54.0,65.0,92.0,116.0
Minority share,Net Profit,-0.0,0.0,0.0,0.0,-0.0,-9.0,-9.0,-1.0,-4.0,-5.0,-8.0
Exceptional items AT,Net Profit,-0.0,-0.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0
Profit excl Excep,Net Profit,41.0,96.0,143.0,175.0,211.0,247.0,308.0,376.0,460.0,541.0,650.0
Profit for PE,Net Profit,41.0,96.0,144.0,175.0,211.0,238.0,299.0,375.0,456.0,536.0,641.0
Profit for EPS,Net Profit,41.0,96.0,145.0,177.0,215.0,242.0,300.0,376.0,457.0,536.0,641.0
Profit Growth %,Net Profit,59.0,110.0,50.0,22.0,21.0,13.0,26.0,25.0,22.0,18.0,20.0
