,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024
Sales,,758.0,801.0,916.0,565.0,1041.0,1355.0,1368.0
Expenses,,526.0,527.0,522.0,322.0,545.0,684.0,709.0
Operating Profit,,232.0,274.0,394.0,243.0,496.0,671.0,658.0
OPM %,,31.0,34.0,43.0,43.0,48.0,50.0,48.0
Other Income,,11.0,19.0,32.0,60.0,50.0,40.0,70.0
Interest,,6.0,4.0,26.0,26.0,28.0,31.0,44.0
Depreciation,,10.0,9.0,89.0,96.0,94.0,104.0,135.0
Profit before tax,,226.0,280.0,312.0,182.0,423.0,576.0,548.0
Tax %,,35.0,35.0,24.0,27.0,26.0,25.0,24.0
Net Profit,,148.0,182.0,237.0,133.0,315.0,429.0,414.0
EPS in Rs,,11.82,14.55,18.9,10.72,12.98,17.67,17.05
Dividend Payout %,,0.0,0.0,21.0,0.0,39.0,51.0,50.0
Sales Growth %,Sales,,5.63,14.34,-38.31,84.28,30.18,0.93
Material Cost %,Expenses,30.66,26.3,25.84,24.12,23.95,24.57,26.58
Manufacturing Cost %,Expenses,9.33,8.92,9.05,9.36,9.44,8.27,6.38
Employee Cost %,Expenses,6.46,5.9,5.82,6.75,5.58,4.27,4.24
Other Cost %,Expenses,22.99,24.72,16.26,16.73,13.4,13.38,14.68
Exceptional items,Other Income,5.0,8.0,6.0,5.0,7.0,9.0,18.0
Other income normal,Other Income,5.0,11.0,26.0,55.0,43.0,31.0,51.0
Exceptional items AT,Net Profit,4.0,6.0,5.0,4.0,5.0,7.0,14.0
Profit excl Excep,Net Profit,144.0,177.0,232.0,129.0,310.0,422.0,400.0
Profit for PE,Net Profit,144.0,177.0,232.0,129.0,310.0,422.0,400.0
Profit for EPS,Net Profit,148.0,182.0,237.0,133.0,315.0,429.0,414.0
Profit Growth %,Net Profit,,22.0,31.0,-44.0,140.0,36.0,-5.0
