,parent_line_item,Mar 2025,Mar 2026
Sales,,7830.0,8396.0
Expenses,,6607.0,7052.0
Operating Profit,,1223.0,1344.0
OPM %,,16.0,16.0
Other Income,,-21.0,36.0
Interest,,413.0,364.0
Depreciation,,706.0,795.0
Profit before tax,,83.0,220.0
Tax %,,29.0,22.0
Net Profit,,60.0,171.0
EPS in Rs,,1.4,
Dividend Payout %,,0.0,36.0
Sales Growth %,Sales,,7.23
Material Cost %,Expenses,41.79,40.49
Manufacturing Cost %,Expenses,9.83,0.0
Employee Cost %,Expenses,11.73,11.21
Other Cost %,Expenses,21.03,32.29
Exceptional items,Other Income,-91.0,-49.0
Other income normal,Other Income,71.0,85.0
Exceptional items AT,Net Profit,-65.0,-38.0
Profit excl Excep,Net Profit,125.0,209.0
Profit for PE,Net Profit,125.0,209.0
Profit for EPS,Net Profit,60.0,171.0
Profit Growth %,Net Profit,,68.0
