,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1608.0,1729.0,1691.0,1059.0,2508.0,3937.0,4563.0,5406.0,7028.0,8373.0
Expenses,,1467.0,1616.0,1535.0,965.0,2101.0,2986.0,3322.0,3913.0,5180.0,6131.0
Operating Profit,,141.0,113.0,156.0,94.0,407.0,951.0,1241.0,1493.0,1849.0,2243.0
OPM %,,9.0,7.0,9.0,9.0,16.0,24.0,27.0,28.0,26.0,27.0
Other Income,,59.0,65.0,56.0,48.0,-122.0,110.0,139.0,177.0,82.0,114.0
Interest,,100.0,99.0,101.0,83.0,179.0,101.0,84.0,60.0,165.0,235.0
Depreciation,,96.0,94.0,103.0,46.0,174.0,221.0,232.0,245.0,359.0,447.0
Profit before tax,,5.0,-15.0,8.0,13.0,-69.0,739.0,1064.0,1365.0,1406.0,1676.0
Tax %,,-236.0,65.0,102.0,-1.0,67.0,18.0,-4.0,23.0,24.0,14.0
Net Profit,,16.0,-25.0,-0.0,59.0,-138.0,605.0,1104.0,1058.0,1076.0,1442.0
EPS in Rs,,0.29,-0.47,-0.06,1.1,-1.42,6.24,11.37,10.88,11.07,14.82
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,14.0,13.0
Sales Growth %,Sales,,7.52,-2.2,-37.37,136.82,56.96,15.9,18.49,30.01,19.14
Material Cost %,Expenses,26.31,24.63,21.55,21.66,23.15,23.64,20.53,20.69,21.02,21.38
Manufacturing Cost %,Expenses,4.72,5.85,4.96,30.05,27.24,25.0,25.75,24.95,25.78,25.97
Employee Cost %,Expenses,22.02,24.49,26.09,21.73,23.51,19.57,17.8,17.41,16.85,16.37
Other Cost %,Expenses,38.19,38.46,38.17,17.72,9.86,7.65,8.73,9.34,10.05,9.5
Exceptional items,Other Income,-1.0,-0.0,-1.0,-0.0,-234.0,-12.0,1.0,0.0,-73.0,-48.0
Other income normal,Other Income,60.0,65.0,57.0,48.0,111.0,122.0,138.0,176.0,155.0,162.0
Profit from Associates,Net Profit,0.0,0.0,0.0,46.0,-23.0,0.0,0.0,0.0,0.0,0.0
Minority share,Net Profit,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Exceptional items AT,Net Profit,1.0,-0.0,-0.0,-0.0,-279.0,-10.0,1.0,0.0,-56.0,-41.0
Profit excl Excep,Net Profit,15.0,-25.0,0.0,59.0,141.0,615.0,1102.0,1057.0,1132.0,1483.0
Profit for PE,Net Profit,15.0,-25.0,-3.0,59.0,141.0,615.0,1102.0,1057.0,1132.0,1483.0
Profit for EPS,Net Profit,16.0,-25.0,-3.0,59.0,-138.0,605.0,1104.0,1058.0,1076.0,1442.0
Profit Growth %,Net Profit,,-269.0,89.0,2209.0,139.0,335.0,79.0,-4.0,7.0,31.0
