nse_symbol,status
GABRIEL,skip:existing
GAEL,skip:existing
GAIL,skip:existing
GALLANTT,skip:existing
GESHIP,skip:existing
GHCL,skip:existing
GICRE,skip:existing
GILLETTE,skip:existing
GLAND,skip:existing
GLAXO,skip:existing
GLENMARK,skip:existing
GMDCLTD,skip:existing
GMMPFAUDLR,skip:existing
GMRAIRPORT,skip:existing
GNFC,skip:existing
GODFRYPHLP,skip:existing
GODIGIT,skip:existing
GODREJAGRO,skip:existing
GODREJCP,skip:existing
GODREJIND,skip:existing
GODREJPROP,skip:existing
GOKEX,skip:existing
GOKULAGRO,skip:existing
GPIL,skip:existing
GPPL,skip:existing
GRANULES,skip:existing
GRAPHITE,skip:existing
GRASIM,skip:existing
GRAVITA,skip:existing
GREAVESCOT,skip:existing
GROWW,skip:existing
GRSE,skip:existing
GRWRHITECH,skip:existing
GSFC,skip:existing
HAL,skip:existing
HAPPSTMNDS,skip:existing
HAVELLS,skip:existing
HBLENGINE,skip:existing
HCC,skip:existing
HCG,skip:existing
HCLTECH,skip:existing
HDBFS,skip:existing
HDFCAMC,skip:existing
HDFCBANK,skip:existing
HDFCLIFE,skip:existing
HEG,skip:existing
HEMIPROP,skip:existing
HERITGFOOD,skip:existing
HEROMOTOCO,skip:existing
HEXT,skip:existing
HFCL,skip:existing
HGINFRA,skip:existing
HINDALCO,skip:existing
HINDCOPPER,skip:existing
HINDPETRO,skip:existing
HINDUNILVR,skip:existing
HINDZINC,skip:existing
HOMEFIRST,skip:existing
HONASA,skip:existing
HONAUT,skip:existing
HSCL,skip:existing
HUDCO,skip:existing
HYUNDAI,skip:existing
ICICIAMC,skip:existing
ICICIBANK,skip:existing
ICICIGI,skip:existing
ICICIPRULI,skip:existing
ICIL,skip:existing
IDBI,skip:existing
IDEA,skip:existing
IDFCFIRSTB,skip:existing
IEX,skip:existing
IFBIND,skip:existing
IFCI,skip:existing
IGIL,skip:existing
IGL,skip:existing
IIFL,skip:existing
IIFLCAPS,skip:existing
IKS,skip:existing
IMFA,skip:existing
INDGN,skip:existing
INDHOTEL,skip:existing
INDIACEM,skip:existing
INDIAGLYCO,skip:existing
INDIAMART,skip:existing
INDIANB,skip:existing
INDIASHLTR,skip:existing
INDIGO,skip:existing
INDIGOPNTS,skip:existing
INDUSINDBK,skip:existing
INDUSTOWER,skip:existing
INFY,skip:existing
INOXGREEN,skip:existing
INOXINDIA,skip:existing
INOXWIND,skip:existing
INTELLECT,skip:existing
IOB,skip:existing
IOC,skip:existing
IONEXCHANG,skip:existing
IPCALAB,skip:existing
IRB,skip:existing
IRCON,skip:existing
IRCTC,skip:existing
IREDA,skip:existing
IRFC,skip:existing
ITC,skip:existing
ITCHOTELS,skip:existing
ITI,skip:existing
IXIGO,skip:existing
JAIBALAJI,skip:existing
JAINREC,skip:existing
JAMNAAUTO,skip:existing
JAYNECOIND,skip:existing
JBCHEPHARM,skip:existing
JBMA,skip:existing
JINDALSAW,skip:existing
JINDALSTEL,skip:existing
JIOFIN,skip:existing
JKCEMENT,skip:existing
JKLAKSHMI,skip:existing
JKPAPER,skip:existing
JKTYRE,skip:existing
JLHL,skip:existing
JMFINANCIL,skip:existing
JPPOWER,skip:existing
JSFB,skip:existing
JSL,skip:existing
JSLL,skip:existing
JSWCEMENT,skip:existing
JSWDULUX,skip:existing
JSWENERGY,skip:existing
JSWINFRA,skip:existing
JSWSTEEL,skip:existing
JUBLFOOD,skip:existing
JUBLINGREA,skip:existing
JUBLPHARMA,skip:existing
JUSTDIAL,skip:existing
JWL,skip:existing
JYOTHYLAB,skip:existing
JYOTICNC,skip:existing
KAJARIACER,skip:existing
KALYANKJIL,skip:existing
KANSAINER,skip:existing
KARURVYSYA,skip:existing
KAYNES,skip:existing
KEC,skip:existing
KEI,skip:existing
KFINTECH,skip:existing
KIMS,skip:existing
KIRLOSBROS,skip:existing
KIRLOSENG,skip:existing
KIRLPNU,skip:existing
KITEX,skip:existing
KNRCON,skip:existing
KOTAKBANK,skip:existing
KPIGREEN,skip:existing
KPIL,skip:existing
KPITTECH,skip:existing
KPRMILL,skip:existing
KRBL,skip:existing
KRN,skip:existing
KSB,skip:existing
KSCL,skip:existing
KTKBANK,skip:existing
LALPATHLAB,skip:existing
LATENTVIEW,skip:existing
LAURUSLABS,skip:existing
LEMONTREE,skip:existing
LENSKART,skip:existing
LGEINDIA,skip:existing
LICHSGFIN,skip:existing
LICI,skip:existing
LINDEINDIA,skip:existing
LLOYDSENGG,skip:existing
LLOYDSENT,skip:existing
LLOYDSME,skip:existing
LODHA,skip:existing
LOTUSDEV,skip:existing
LT,skip:existing
LTF,skip:existing
LTFOODS,skip:existing
LTM,skip:existing
LTTS,skip:existing
LUMAXTECH,skip:existing
LUPIN,skip:existing
LXCHEM,skip:existing
MAHABANK,skip:existing
MAHSCOOTER,skip:existing
MAHSEAMLES,skip:existing
MANAPPURAM,skip:existing
MANKIND,skip:existing
MANORAMA,skip:existing
MANYAVAR,skip:existing
MAPMYINDIA,skip:existing
MARICO,skip:existing
MARKSANS,skip:existing
MARUTI,skip:existing
MASTEK,skip:existing
MAXHEALTH,skip:existing
MAZDOCK,skip:existing
MCX,skip:existing
MEDANTA,skip:existing
MEDPLUS,skip:existing
MEESHO,skip:existing
METROPOLIS,skip:existing
MFSL,skip:existing
MGL,skip:existing
MIDHANI,skip:existing
MINDACORP,skip:existing
MMTC,skip:existing
MOIL,skip:existing
MOTHERSON,skip:existing
MOTILALOFS,skip:existing
MPHASIS,skip:existing
MRF,skip:existing
MRPL,skip:existing
MSTCLTD,skip:existing
MSUMI,skip:existing
MTARTECH,skip:existing
MUTHOOTFIN,skip:existing
NAM-INDIA,skip:existing
NATCOPHARM,skip:existing
NATIONALUM,skip:existing
NAUKRI,skip:existing
NAVA,skip:existing
NAVINFLUOR,skip:existing
NAZARA,skip:existing
NBCC,skip:existing
NCC,skip:existing
NEOGEN,skip:existing
NESCO,skip:existing
NESTLEIND,skip:existing
NETWEB,skip:existing
NETWORK18,skip:existing
NEULANDLAB,skip:existing
NEWGEN,skip:existing
NFL,skip:existing
NH,skip:existing
NHPC,skip:existing
NIACL,skip:existing
NIVABUPA,skip:existing
NLCINDIA,skip:existing
NMDC,skip:existing
NSLNISP,skip:existing
NTPC,skip:existing
NTPCGREEN,skip:existing
NUVAMA,skip:existing
NUVOCO,skip:existing
NYKAA,skip:existing
OBEROIRLTY,skip:existing
OFSS,skip:existing
OIL,skip:existing
OLAELEC,skip:existing
OLECTRA,skip:existing
ONESOURCE,skip:existing
ONGC,skip:existing
OPTIEMUS,skip:existing
ORIENTCEM,skip:existing
ORKLAINDIA,skip:existing
OSWALPUMPS,skip:existing
PAGEIND,skip:existing
PARADEEP,skip:existing
PARAS,skip:existing
PARKHOSPS,skip:existing
PATANJALI,skip:existing
PAYTM,skip:existing
PCBL,skip:existing
PCJEWELLER,skip:existing
PERSISTENT,skip:existing
PETRONET,skip:existing
PFC,skip:existing
PFIZER,skip:existing
PFOCUS,skip:existing
PGEL,skip:existing
PGIL,skip:existing
PHOENIXLTD,skip:existing
PICCADIL,skip:existing
PIDILITIND,skip:existing
PIIND,skip:existing
PINELABS,skip:existing
PIRAMALFIN,skip:existing
PNB,skip:existing
PNBHOUSING,skip:existing
PNCINFRA,skip:existing
PNGJL,skip:existing
POLICYBZR,skip:existing
POLYCAB,skip:existing
POLYMED,skip:existing
POONAWALLA,skip:existing
POWERGRID,skip:existing
POWERINDIA,skip:existing
POWERMECH,skip:existing
PPLPHARMA,skip:existing
PRAJIND,skip:existing
PREMIERENE,skip:existing
PRESTIGE,skip:existing
PRICOLLTD,skip:existing
PRIVISCL,skip:existing
