,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,,317.0,448.0,585.0,830.0,1166.0,1529.0
Interest,,106.0,149.0,211.0,289.0,356.0,446.0
Expenses,,99.0,138.0,185.0,243.0,319.0,417.0
Financing Profit,,112.0,162.0,189.0,298.0,491.0,666.0
Financing Margin %,,35.0,36.0,32.0,36.0,42.0,44.0
Other Income,,6.0,12.0,21.0,32.0,10.0,-0.0
Depreciation,,5.0,7.0,8.0,10.0,12.0,12.0
Profit before tax,,113.0,167.0,202.0,319.0,489.0,653.0
Tax %,,23.0,23.0,23.0,22.0,23.0,23.0
Net Profit,,87.0,128.0,155.0,248.0,378.0,503.0
EPS in Rs,,20.33,29.39,35.41,23.13,35.02,46.26
Dividend Payout %,,0.0,0.0,0.0,0.0,14.0,22.0
Manufacturing Cost %,Expenses,0.89,0.95,1.02,0.99,1.09,0.96
Employee Cost %,Expenses,19.65,22.67,23.07,21.68,19.71,19.53
Other Cost %,Expenses,10.66,7.09,7.61,6.61,6.59,6.78
Exceptional items,Other Income,-0.15,-0.06,-0.13,-0.12,-0.14,-0.28
Other income normal,Other Income,5.87,11.75,21.62,31.67,10.28,0.06
Exceptional items AT,Net Profit,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Profit excl Excep,Net Profit,88.0,128.0,155.0,248.0,378.0,503.0
Profit for PE,Net Profit,88.0,128.0,155.0,248.0,378.0,503.0
Profit for EPS,Net Profit,87.0,128.0,155.0,248.0,378.0,503.0
Profit Growth %,Net Profit,,47.0,21.0,59.0,53.0,33.0
