,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1013.0,1324.0,1407.0,1235.0,1202.0,1405.0,1349.0,1636.0,1982.0,2056.0
Expenses,,670.0,771.0,723.0,532.0,467.0,473.0,521.0,592.0,696.0,740.0
Operating Profit,,344.0,552.0,684.0,703.0,735.0,932.0,828.0,1044.0,1287.0,1316.0
OPM %,,34.0,42.0,49.0,57.0,61.0,66.0,61.0,64.0,65.0,64.0
Other Income,,1.0,0.0,0.0,0.0,4.0,3.0,5.0,5.0,4.0,1.0
Interest,,0.0,5.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,5.0
Depreciation,,8.0,26.0,32.0,37.0,37.0,36.0,34.0,35.0,40.0,46.0
Profit before tax,,337.0,522.0,646.0,661.0,696.0,895.0,794.0,1008.0,1245.0,1266.0
Tax %,,34.0,33.0,31.0,25.0,24.0,25.0,25.0,23.0,25.0,23.0
Net Profit,,223.0,349.0,447.0,494.0,526.0,673.0,596.0,780.0,931.0,975.0
EPS in Rs,,124.01,193.64,248.22,274.67,292.38,23.36,20.71,27.09,32.26,33.76
Dividend Payout %,,22.0,57.0,67.0,67.0,27.0,49.0,50.0,50.0,74.0,76.0
Sales Growth %,Sales,,30.64,6.32,-12.27,-2.67,16.94,-3.99,21.23,21.2,3.73
Manufacturing Cost %,Expenses,1.33,2.54,2.36,7.34,5.06,2.42,2.83,3.22,3.4,3.82
Employee Cost %,Expenses,19.51,17.91,19.78,19.67,20.1,18.54,20.65,19.7,18.5,19.38
Other Cost %,Expenses,45.24,37.82,29.26,16.08,13.69,12.71,15.17,13.28,13.19,12.8
Exceptional items,Other Income,0.0,-0.06,-0.05,-0.04,-0.07,-0.13,0.14,0.04,0.0,-2.65
Other income normal,Other Income,1.38,0.16,0.08,0.21,4.19,3.33,4.43,4.95,3.54,3.18
Exceptional items AT,Net Profit,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-2.0
Profit excl Excep,Net Profit,223.0,349.0,447.0,494.0,526.0,673.0,596.0,780.0,931.0,977.0
Profit for PE,Net Profit,223.0,349.0,447.0,494.0,526.0,673.0,596.0,780.0,931.0,977.0
Profit for EPS,Net Profit,223.0,349.0,447.0,494.0,526.0,673.0,596.0,780.0,931.0,975.0
Profit Growth %,Net Profit,,56.0,28.0,11.0,6.0,28.0,-11.0,31.0,19.0,5.0
