,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,69.0,100.0,93.0,59.0,85.0,91.0,291.0,155.0,985.0
Expenses,,49.0,59.0,62.0,48.0,61.0,45.0,48.0,39.0,782.0
Operating Profit,,21.0,41.0,31.0,10.0,24.0,46.0,243.0,116.0,203.0
OPM %,,30.0,41.0,33.0,18.0,28.0,50.0,83.0,75.0,21.0
Other Income,,3.0,2.0,5.0,6.0,3.0,3.0,6.0,5.0,60.0
Interest,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0
Depreciation,,1.0,1.0,1.0,2.0,4.0,2.0,3.0,3.0,16.0
Profit before tax,,23.0,42.0,35.0,14.0,22.0,47.0,245.0,117.0,221.0
Tax %,,22.0,28.0,16.0,32.0,21.0,32.0,21.0,34.0,25.0
Net Profit,,130.0,137.0,78.0,74.0,161.0,238.0,533.0,412.0,530.0
EPS in Rs,,5.84,6.19,3.52,3.33,7.35,10.7,24.0,18.55,23.49
Dividend Payout %,,17.0,19.0,24.0,10.0,37.0,37.0,32.0,32.0,0.0
Sales Growth %,Sales,,44.0,-7.0,-37.0,44.0,8.0,219.0,-47.0,537.0
Material Cost %,Expenses,0.0,0.0,0.0,0.0,4.38,0.0,0.0,0.0,48.74
Manufacturing Cost %,Expenses,2.91,3.48,3.06,3.35,7.36,1.83,0.73,2.26,0.0
Employee Cost %,Expenses,41.3,40.19,45.94,58.96,41.39,34.05,10.87,16.94,12.59
Other Cost %,Expenses,25.81,15.56,17.76,20.12,18.85,13.68,5.01,5.89,18.05
Exceptional items,Other Income,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other income normal,Other Income,2.0,2.0,5.0,6.0,3.0,3.0,6.0,5.0,60.0
Profit from Associates,Net Profit,112.0,107.0,49.0,64.0,143.0,206.0,341.0,335.0,364.0
Minority share,Net Profit,-0.0,-0.0,-0.0,-0.0,2.0,-0.0,-0.0,0.0,-8.0
Exceptional items AT,Net Profit,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Profit excl Excep,Net Profit,129.0,137.0,78.0,74.0,161.0,238.0,533.0,412.0,530.0
Profit for PE,Net Profit,129.0,137.0,78.0,74.0,163.0,238.0,533.0,412.0,522.0
Profit for EPS,Net Profit,130.0,137.0,78.0,74.0,163.0,238.0,533.0,412.0,522.0
Profit Growth %,Net Profit,,7.0,-43.0,-5.0,121.0,46.0,124.0,-23.0,27.0
