,parent_line_item,Jun 2015,Jun 2016,Jun 2017,Jun 2018,Jun 2019,Jun 2020,Jun 2021,Jun 2022,Jun 2023,Jun 2024,Mar 2026
Sales,,1875.0,1755.0,1733.0,1677.0,1862.0,1679.0,1982.0,2256.0,2477.0,2633.0,2235.0
Expenses,,1684.0,1448.0,1348.0,1290.0,1478.0,1319.0,1522.0,1773.0,1937.0,1995.0,1635.0
Operating Profit,,191.0,306.0,385.0,387.0,384.0,360.0,460.0,483.0,540.0,638.0,600.0
OPM %,,10.0,17.0,22.0,23.0,21.0,21.0,23.0,21.0,22.0,24.0,27.0
Other Income,,68.0,50.0,34.0,8.0,11.0,11.0,32.0,7.0,22.0,20.0,27.0
Interest,,5.0,6.0,7.0,7.0,8.0,5.0,5.0,11.0,8.0,13.0,9.0
Depreciation,,39.0,30.0,38.0,42.0,48.0,51.0,58.0,68.0,81.0,83.0,64.0
Profit before tax,,215.0,320.0,374.0,345.0,339.0,314.0,429.0,411.0,473.0,562.0,554.0
Tax %,,26.0,33.0,32.0,34.0,25.0,27.0,28.0,30.0,25.0,27.0,25.0
Net Profit,,158.0,214.0,253.0,229.0,253.0,230.0,310.0,289.0,356.0,412.0,418.0
EPS in Rs,,48.53,65.73,77.67,70.29,77.62,70.64,95.25,88.79,109.15,126.35,128.17
Dividend Payout %,,31.0,60.0,211.0,33.0,57.0,69.0,125.0,78.0,78.0,103.0,87.0
Sales Growth %,Sales,12.79,-6.39,-1.25,-3.23,11.02,-9.81,18.04,13.84,9.79,6.3,38.69
Material Cost %,Expenses,45.11,48.68,45.36,41.34,44.01,45.37,44.44,46.52,47.97,41.83,36.6
Manufacturing Cost %,Expenses,3.17,3.87,4.36,4.38,3.94,4.59,4.01,3.39,3.51,4.0,-0.0
Employee Cost %,Expenses,6.09,6.09,6.36,7.06,5.86,7.16,7.27,6.69,6.89,7.17,7.09
Other Cost %,Expenses,35.46,23.92,21.68,24.15,25.57,21.45,21.09,22.01,19.85,22.78,25.89
Exceptional items,Other Income,-25.83,-0.61,-3.66,-5.23,-3.0,-0.82,0.77,-0.38,-0.52,-6.51,0.0
Other income normal,Other Income,93.7,50.68,37.82,12.75,13.6,11.42,31.73,7.74,22.18,26.1,27.89
Exceptional items AT,Net Profit,-18.0,-0.0,-2.0,-3.0,-2.0,-1.0,1.0,-0.0,-0.0,-5.0,0.0
Profit excl Excep,Net Profit,176.0,215.0,256.0,233.0,255.0,231.0,310.0,290.0,356.0,416.0,654.0
Profit for PE,Net Profit,176.0,215.0,256.0,233.0,255.0,231.0,310.0,290.0,356.0,416.0,654.0
Profit for EPS,Net Profit,158.0,214.0,253.0,229.0,253.0,230.0,310.0,289.0,356.0,412.0,654.0
Profit Growth %,Net Profit,242.0,22.0,19.0,-9.0,10.0,-9.0,34.0,-7.0,23.0,17.0,56.0
