,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1473.0,1357.0,1814.0,1239.0,1413.0,1545.0,1959.0,2272.0,2692.0,4041.0
Expenses,,1365.0,1300.0,1868.0,1227.0,1224.0,1362.0,1730.0,1986.0,2379.0,3571.0
Operating Profit,,108.0,56.0,-54.0,13.0,189.0,183.0,229.0,285.0,313.0,469.0
OPM %,,7.0,4.0,-3.0,1.0,13.0,12.0,12.0,13.0,12.0,12.0
Other Income,,10.0,5.0,13.0,15.0,22.0,7.0,14.0,1.0,17.0,12.0
Interest,,19.0,14.0,38.0,34.0,43.0,27.0,18.0,18.0,13.0,30.0
Depreciation,,73.0,74.0,94.0,96.0,94.0,82.0,78.0,82.0,90.0,120.0
Profit before tax,,26.0,-26.0,-173.0,-102.0,74.0,80.0,147.0,186.0,227.0,331.0
Tax %,,65.0,85.0,1.0,-3.0,44.0,36.0,15.0,24.0,26.0,24.0
Net Profit,,9.0,-49.0,-174.0,-99.0,42.0,51.0,125.0,141.0,167.0,251.0
EPS in Rs,,0.76,-4.02,-14.26,-8.1,3.4,4.19,10.23,11.54,13.7,20.58
Dividend Payout %,,103.0,-19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sales Growth %,Sales,,-8.0,34.0,-32.0,14.0,9.0,27.0,16.0,18.0,50.0
Material Cost %,Expenses,64.0,63.0,70.0,69.0,68.0,69.0,70.0,68.0,69.0,69.0
Manufacturing Cost %,Expenses,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,0.0
Employee Cost %,Expenses,16.0,13.0,14.0,13.0,12.0,12.0,12.0,12.0,12.0,12.0
Other Cost %,Expenses,9.0,17.0,16.0,14.0,4.0,4.0,4.0,5.0,5.0,8.0
Exceptional items,Other Income,1.43,0.32,0.44,0.53,-11.35,-1.95,10.04,-6.85,4.6,0.0
Other income normal,Other Income,8.38,5.01,12.09,14.33,33.51,8.82,4.19,7.68,12.04,11.57
Exceptional items AT,Net Profit,-0.0,0.0,0.0,1.0,-5.0,-1.0,8.0,-5.0,3.0,0.0
Profit excl Excep,Net Profit,9.0,-49.0,-174.0,-99.0,47.0,52.0,117.0,146.0,164.0,251.0
Profit for PE,Net Profit,9.0,-49.0,-174.0,-99.0,47.0,52.0,117.0,146.0,164.0,251.0
Profit for EPS,Net Profit,9.0,-49.0,-174.0,-99.0,42.0,51.0,125.0,141.0,167.0,251.0
Profit Growth %,Net Profit,,-621.0,-254.0,43.0,147.0,12.0,124.0,24.0,12.0,53.0
