,parent_line_item,Mar 2020,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,608.0,1130.0,1441.0,1330.0,1041.0,1081.0
Expenses,,460.0,663.0,807.0,867.0,726.0,842.0
Operating Profit,,148.0,467.0,634.0,463.0,315.0,239.0
OPM %,,24.0,41.0,44.0,35.0,30.0,22.0
Other Income,,9.0,12.0,43.0,43.0,-3.0,27.0
Interest,,122.0,162.0,97.0,8.0,8.0,26.0
Depreciation,,52.0,67.0,69.0,70.0,79.0,93.0
Profit before tax,,-17.0,251.0,512.0,427.0,224.0,147.0
Tax %,,117.0,25.0,25.0,25.0,28.0,28.0
Net Profit,,-36.0,188.0,383.0,319.0,162.0,105.0
EPS in Rs,,-18.81,19.54,31.09,25.85,13.14,8.66
Dividend Payout %,,0.0,0.0,8.0,12.0,23.0,29.0
Sales Growth %,Sales,,,27.48,-7.7,-21.73,3.85
Material Cost %,Expenses,0.06,3.48,0.19,6.59,-0.75,5.95
Manufacturing Cost %,Expenses,0.0,16.63,15.55,14.99,17.18,17.72
Employee Cost %,Expenses,5.67,3.35,5.0,5.45,5.86,6.86
Other Cost %,Expenses,69.94,35.22,35.27,38.19,47.49,47.38
Exceptional items,Other Income,0.0,1.28,3.83,23.07,-17.74,6.15
Other income normal,Other Income,8.83,11.11,39.44,20.22,14.42,20.78
Minority share,Net Profit,0.0,0.0,0.0,0.0,0.0,1.0
Exceptional items AT,Net Profit,0.0,1.0,3.0,17.0,-13.0,4.0
Profit excl Excep,Net Profit,-36.0,187.0,380.0,302.0,175.0,102.0
Profit for PE,Net Profit,-36.0,187.0,380.0,302.0,175.0,103.0
Profit for EPS,Net Profit,-36.0,188.0,383.0,319.0,162.0,107.0
Profit Growth %,Net Profit,,,103.0,-21.0,-42.0,-41.0
