,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1913.0,2228.0,2425.0,2645.0,3061.0,3511.0,2844.0,3149.0,3238.0
Expenses,,1693.0,1938.0,2090.0,2157.0,2459.0,2844.0,2369.0,2516.0,2567.0
Operating Profit,,220.0,291.0,335.0,488.0,602.0,667.0,475.0,633.0,671.0
OPM %,,11.0,13.0,14.0,18.0,20.0,19.0,17.0,20.0,21.0
Other Income,,30.0,1.0,-20.0,19.0,27.0,45.0,96.0,120.0,131.0
Interest,,5.0,4.0,7.0,7.0,8.0,6.0,6.0,7.0,8.0
Depreciation,,24.0,28.0,41.0,47.0,45.0,52.0,62.0,66.0,66.0
Profit before tax,,221.0,260.0,267.0,453.0,576.0,654.0,503.0,680.0,728.0
Tax %,,34.0,36.0,23.0,24.0,26.0,23.0,26.0,26.0,25.0
Net Profit,,145.0,166.0,205.0,345.0,424.0,502.0,370.0,506.0,543.0
EPS in Rs,,4.1,6.92,8.49,10.06,7.4,10.13,10.88,11.61,
Dividend Payout %,,0.0,38.0,18.0,12.0,12.0,12.0,80.0,12.0,12.0
Sales Growth %,Sales,,16.5,8.81,9.08,15.74,14.69,-19.0,10.71,2.85
Material Cost %,Expenses,57.0,58.0,61.0,56.0,56.0,59.0,58.0,53.0,52.0
Manufacturing Cost %,Expenses,12.0,12.0,9.0,10.0,9.0,9.0,9.0,10.0,10.0
Employee Cost %,Expenses,8.0,7.0,7.0,7.0,7.0,6.0,8.0,8.0,8.0
Other Cost %,Expenses,12.0,10.0,9.0,8.0,8.0,7.0,9.0,8.0,9.0
Exceptional items,Other Income,0.0,-7.0,-29.0,7.0,7.0,23.0,23.0,16.0,26.0
Other income normal,Other Income,30.0,7.0,9.0,11.0,20.0,22.0,72.0,104.0,105.0
Minority share,Net Profit,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-1.0,-0.0
Exceptional items AT,Net Profit,0.0,-4.0,-21.0,6.0,5.0,17.0,17.0,20.0,33.0
Profit excl Excep,Net Profit,145.0,170.0,225.0,340.0,418.0,485.0,352.0,486.0,510.0
Profit for PE,Net Profit,145.0,170.0,225.0,340.0,418.0,485.0,352.0,485.0,510.0
Profit for EPS,Net Profit,145.0,166.0,205.0,345.0,424.0,502.0,370.0,506.0,543.0
Profit Growth %,Net Profit,,17.0,32.0,51.0,23.0,16.0,-27.0,38.0,5.0
