,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,,1555.0,1251.0,1992.0,2498.0,2727.0,3075.0,4014.0,4710.0,5353.0
Interest,,1164.0,814.0,980.0,1235.0,1337.0,1415.0,1886.0,2317.0,2760.0
Expenses,,2844.0,2399.0,1322.0,1331.0,1627.0,1960.0,2222.0,2635.0,3289.0
Financing Profit,,-2453.0,-1963.0,-311.0,-68.0,-238.0,-300.0,-94.0,-242.0,-695.0
Financing Margin %,,-158.0,-157.0,-16.0,-3.0,-9.0,-10.0,-2.0,-5.0,-13.0
Other Income,,42.0,113.0,433.0,235.0,324.0,625.0,670.0,776.0,1022.0
Depreciation,,0.0,99.0,93.0,83.0,81.0,69.0,62.0,61.0,0.0
Profit before tax,,-2411.0,-1949.0,30.0,84.0,5.0,256.0,514.0,474.0,326.0
Tax %,,4.0,0.0,0.0,0.0,0.0,0.0,-30.0,-6.0,0.0
Net Profit,,-2504.0,-1949.0,30.0,84.0,5.0,256.0,670.0,501.0,326.0
EPS in Rs,,-637.29,-413.32,5.94,16.62,1.07,50.46,64.02,47.73,30.99
Dividend Payout %,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manufacturing Cost %,Expenses,0.0,3.56,2.06,1.21,0.99,0.92,0.88,0.82,0.0
Employee Cost %,Expenses,43.1,48.18,31.33,24.78,25.66,25.31,24.31,25.74,27.28
Other Cost %,Expenses,139.84,140.13,32.99,27.31,33.03,37.52,30.16,29.39,34.16
Exceptional items,Other Income,0.0,-5.0,-3.0,-8.0,-0.0,0.0,0.0,0.0,0.0
Other income normal,Other Income,42.0,118.0,436.0,243.0,324.0,625.0,670.0,776.0,1022.0
Exceptional items AT,Net Profit,0.0,-5.0,-3.0,-8.0,-0.0,0.0,0.0,0.0,0.0
Profit excl Excep,Net Profit,-2504.0,-1944.0,33.0,92.0,6.0,256.0,670.0,501.0,326.0
Profit for PE,Net Profit,-2504.0,-1944.0,33.0,92.0,6.0,256.0,670.0,501.0,326.0
Profit for EPS,Net Profit,-2504.0,-1949.0,30.0,84.0,5.0,256.0,670.0,501.0,326.0
Profit Growth %,Net Profit,,22.0,102.0,179.0,-94.0,4455.0,162.0,-25.0,-35.0
