,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,553.0,643.0,966.0,1665.0,2306.0,2590.0,2839.0,3510.0
Expenses,,511.0,499.0,736.0,1378.0,1910.0,2084.0,2292.0,2892.0
Operating Profit,,42.0,144.0,230.0,287.0,396.0,505.0,548.0,619.0
OPM %,,8.0,22.0,24.0,17.0,17.0,20.0,19.0,18.0
Other Income,,7.0,-102.0,-3.0,-21.0,58.0,79.0,94.0,52.0
Interest,,6.0,9.0,7.0,6.0,31.0,49.0,22.0,19.0
Depreciation,,17.0,19.0,26.0,33.0,60.0,76.0,80.0,126.0
Profit before tax,,26.0,14.0,195.0,226.0,363.0,459.0,539.0,525.0
Tax %,,45.0,191.0,23.0,28.0,27.0,27.0,25.0,24.0
Net Profit,,14.0,-12.0,149.0,163.0,266.0,337.0,407.0,401.0
EPS in Rs,,89.98,-40.2,951.96,937.73,11.99,15.14,16.95,16.65
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,13.0
Sales Growth %,Sales,,16.2,50.29,72.27,38.54,12.29,9.64,23.64
Manufacturing Cost %,Expenses,11.0,12.0,14.0,15.0,11.0,9.0,9.0,11.0
Employee Cost %,Expenses,66.0,58.0,55.0,61.0,64.0,64.0,64.0,63.0
Other Cost %,Expenses,15.0,9.0,6.0,7.0,8.0,8.0,8.0,9.0
Exceptional items,Other Income,0.0,-106.0,-33.0,-47.0,0.0,2.0,-14.0,-20.0
Other income normal,Other Income,7.0,4.0,31.0,26.0,58.0,76.0,107.0,72.0
Minority share,Net Profit,0.0,6.0,-0.0,2.0,0.0,0.0,0.0,0.0
Exceptional items AT,Net Profit,0.0,60.0,2.0,-27.0,0.0,2.0,-10.0,-13.0
Profit excl Excep,Net Profit,14.0,-72.0,147.0,190.0,266.0,335.0,416.0,415.0
Profit for PE,Net Profit,14.0,-37.0,147.0,192.0,266.0,335.0,416.0,415.0
Profit for EPS,Net Profit,14.0,-6.0,149.0,165.0,266.0,337.0,407.0,401.0
Profit Growth %,Net Profit,,-360.0,501.0,31.0,39.0,26.0,24.0,-0.0
