,parent_line_item,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,597.0,1024.0,1341.0,1631.0,1277.0,1404.0,1608.0,1752.0,2101.0,2564.0
Expenses,,525.0,894.0,1128.0,1362.0,1067.0,1209.0,1420.0,1423.0,1643.0,1912.0
Operating Profit,,72.0,130.0,213.0,268.0,210.0,195.0,188.0,329.0,458.0,651.0
OPM %,,12.0,13.0,16.0,16.0,16.0,14.0,12.0,19.0,22.0,25.0
Other Income,,10.0,16.0,14.0,66.0,43.0,38.0,21.0,26.0,20.0,19.0
Interest,,20.0,24.0,29.0,41.0,24.0,25.0,70.0,102.0,92.0,87.0
Depreciation,,27.0,43.0,47.0,63.0,71.0,75.0,108.0,123.0,132.0,144.0
Profit before tax,,36.0,79.0,152.0,231.0,158.0,133.0,31.0,130.0,255.0,440.0
Tax %,,24.0,32.0,38.0,24.0,26.0,27.0,31.0,27.0,27.0,28.0
Net Profit,,27.0,53.0,94.0,176.0,117.0,97.0,21.0,95.0,185.0,317.0
EPS in Rs,,7.21,14.19,24.1,45.1,29.9,24.91,5.68,24.27,47.83,83.77
Dividend Payout %,,14.0,11.0,10.0,3.0,7.0,8.0,0.0,8.0,10.0,12.0
Sales Growth %,Sales,,71.49,30.92,21.59,-21.71,9.96,14.54,8.98,19.92,22.01
Material Cost %,Expenses,64.0,63.0,61.0,61.0,58.0,57.0,58.0,56.0,52.0,50.0
Manufacturing Cost %,Expenses,14.0,14.0,13.0,12.0,12.0,13.0,15.0,13.0,13.0,12.0
Employee Cost %,Expenses,6.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0
Other Cost %,Expenses,5.0,4.0,5.0,6.0,9.0,10.0,10.0,7.0,9.0,8.0
Exceptional items,Other Income,-0.01,-0.05,8.63,39.69,23.1,5.3,-0.59,3.66,1.17,0.25
Other income normal,Other Income,10.34,16.0,5.7,26.7,19.95,32.39,21.37,22.38,19.29,18.94
Minority share,Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,2.0,11.0
Exceptional items AT,Net Profit,0.0,-0.0,5.0,30.0,17.0,4.0,-0.0,3.0,2.0,0.0
Profit excl Excep,Net Profit,27.0,53.0,89.0,147.0,100.0,93.0,22.0,93.0,183.0,316.0
Profit for PE,Net Profit,27.0,53.0,89.0,147.0,100.0,93.0,23.0,92.0,186.0,327.0
Profit for EPS,Net Profit,27.0,53.0,94.0,176.0,117.0,97.0,22.0,95.0,187.0,328.0
Profit Growth %,Net Profit,,97.0,66.0,65.0,-32.0,-6.0,-76.0,308.0,101.0,76.0
