,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,1075.0,1311.0,1611.0,1966.0,2329.0,2617.0,2994.0
Expenses,,979.0,1166.0,1471.0,1752.0,1937.0,2287.0,2583.0
Operating Profit,,96.0,145.0,140.0,214.0,392.0,330.0,411.0
OPM %,,9.0,11.0,9.0,11.0,17.0,13.0,14.0
Other Income,,8.0,11.0,10.0,23.0,27.0,31.0,47.0
Interest,,6.0,3.0,7.0,11.0,11.0,15.0,18.0
Depreciation,,34.0,33.0,38.0,49.0,60.0,82.0,95.0
Profit before tax,,64.0,120.0,105.0,177.0,348.0,264.0,345.0
Tax %,,11.0,25.0,28.0,23.0,24.0,27.0,26.0
Net Profit,,56.0,90.0,76.0,136.0,263.0,194.0,254.0
EPS in Rs,,23.18,37.1,3.12,5.5,10.61,8.01,10.3
Dividend Payout %,,9.0,5.0,3.0,14.0,9.0,12.0,12.0
Sales Growth %,Sales,,21.98,22.9,22.04,18.48,12.34,14.41
Material Cost %,Expenses,57.0,60.0,62.0,71.0,64.0,59.0,56.0
Manufacturing Cost %,Expenses,17.0,16.0,16.0,5.0,5.0,13.0,13.0
Employee Cost %,Expenses,6.0,5.0,6.0,5.0,5.0,6.0,7.0
Other Cost %,Expenses,10.0,8.0,8.0,8.0,9.0,9.0,10.0
Exceptional items,Other Income,-1.0,-0.0,-0.0,0.0,-0.0,-1.0,-5.0
Other income normal,Other Income,8.0,11.0,10.0,23.0,27.0,32.0,51.0
Minority share,Net Profit,0.0,-0.0,2.0,1.0,2.0,6.0,4.0
Exceptional items AT,Net Profit,-0.0,-0.0,-0.0,0.0,-0.0,-1.0,-3.0
Profit excl Excep,Net Profit,57.0,90.0,76.0,136.0,264.0,195.0,258.0
Profit for PE,Net Profit,57.0,90.0,78.0,137.0,266.0,201.0,262.0
Profit for EPS,Net Profit,56.0,90.0,78.0,137.0,266.0,201.0,258.0
Profit Growth %,Net Profit,,59.0,-14.0,76.0,94.0,-24.0,30.0
