,parent_line_item,Mar 2024,Mar 2025,Mar 2026
Sales,,3403.0,4063.0,4667.0
Expenses,,3110.0,3674.0,4229.0
Operating Profit,,293.0,390.0,438.0
OPM %,,9.0,10.0,9.0
Other Income,,19.0,26.0,13.0
Interest,,8.0,10.0,14.0
Depreciation,,60.0,81.0,100.0
Profit before tax,,244.0,324.0,336.0
Tax %,,27.0,24.0,25.0
Net Profit,,179.0,245.0,252.0
EPS in Rs,,12.44,17.05,17.56
Dividend Payout %,,32.0,28.0,28.0
Sales Growth %,Sales,,19.42,14.85
Material Cost %,Expenses,75.0,74.0,74.0
Manufacturing Cost %,Expenses,5.0,4.0,4.0
Employee Cost %,Expenses,6.0,6.0,6.0
Other Cost %,Expenses,5.0,6.0,6.0
Exceptional items,Other Income,5.59,3.28,-7.28
Other income normal,Other Income,13.83,22.52,19.83
Minority share,Net Profit,0.0,0.0,0.0
Exceptional items AT,Net Profit,4.0,4.0,-5.0
Profit excl Excep,Net Profit,175.0,241.0,258.0
Profit for PE,Net Profit,175.0,241.0,258.0
Profit for EPS,Net Profit,179.0,245.0,252.0
Profit Growth %,Net Profit,,38.0,7.0
