,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,214.0,246.0,322.0,574.0,581.0,676.0,876.0
Expenses,,156.0,163.0,228.0,420.0,468.0,555.0,705.0
Operating Profit,,58.0,83.0,94.0,154.0,113.0,121.0,171.0
OPM %,,27.0,34.0,29.0,27.0,19.0,18.0,20.0
Other Income,,4.0,1.0,9.0,19.0,6.0,5.0,19.0
Interest,,5.0,7.0,7.0,15.0,22.0,22.0,29.0
Depreciation,,12.0,13.0,14.0,19.0,23.0,32.0,35.0
Profit before tax,,46.0,65.0,82.0,140.0,73.0,72.0,126.0
Tax %,,31.0,29.0,26.0,26.0,23.0,26.0,25.0
Net Profit,,31.0,46.0,61.0,103.0,56.0,53.0,94.0
EPS in Rs,,11.7,14.98,19.79,33.62,18.24,17.19,30.57
Dividend Payout %,,43.0,40.0,15.0,0.0,0.0,0.0,0.0
Sales Growth %,Sales,,15.28,30.67,78.18,1.22,16.4,29.62
Material Cost %,Expenses,34.0,33.0,36.0,47.0,52.0,51.0,52.0
Manufacturing Cost %,Expenses,10.0,9.0,9.0,7.0,9.0,10.0,0.0
Employee Cost %,Expenses,24.0,22.0,22.0,16.0,17.0,18.0,17.0
Other Cost %,Expenses,5.0,4.0,4.0,3.0,3.0,3.0,11.0
Exceptional items,Other Income,0.0,0.0,0.27,2.61,2.61,1.33,-3.77
Other income normal,Other Income,4.37,1.31,8.48,16.69,3.2,3.82,23.09
Exceptional items AT,Net Profit,0.0,0.0,0.0,2.0,2.0,1.0,-3.0
Profit excl Excep,Net Profit,31.0,46.0,61.0,101.0,54.0,52.0,97.0
Profit for PE,Net Profit,31.0,46.0,61.0,101.0,54.0,52.0,97.0
Profit for EPS,Net Profit,31.0,46.0,61.0,103.0,56.0,53.0,94.0
Profit Growth %,Net Profit,,47.0,32.0,67.0,-47.0,-4.0,87.0
