,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,529.0,553.0,764.0,1031.0,1818.0,2664.0,3194.0
Expenses,,367.0,348.0,466.0,639.0,1297.0,1893.0,2112.0
Operating Profit,,162.0,205.0,298.0,392.0,521.0,771.0,1082.0
OPM %,,31.0,37.0,39.0,38.0,29.0,29.0,34.0
Other Income,,31.0,16.0,1.0,-2.0,40.0,39.0,17.0
Interest,,7.0,8.0,7.0,6.0,61.0,91.0,70.0
Depreciation,,40.0,30.0,23.0,25.0,59.0,113.0,124.0
Profit before tax,,145.0,183.0,269.0,359.0,442.0,606.0,905.0
Tax %,,5.0,9.0,13.0,15.0,16.0,20.0,20.0
Net Profit,,137.0,165.0,233.0,305.0,370.0,486.0,722.0
EPS in Rs,,166.73,200.1,13.61,17.86,21.68,28.33,42.03
Dividend Payout %,,0.0,12.0,393.0,55.0,0.0,0.0,0.0
Sales Growth %,Sales,,4.45,38.2,35.05,76.28,46.54,19.89
Material Cost %,Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manufacturing Cost %,Expenses,2.0,3.0,4.0,5.0,7.0,8.0,0.0
Employee Cost %,Expenses,54.0,54.0,49.0,48.0,53.0,56.0,51.0
Other Cost %,Expenses,13.0,6.0,9.0,10.0,11.0,7.0,15.0
Exceptional items AT,Net Profit,0.0,-0.0,-16.0,-25.0,0.0,2.0,0.0
Profit excl Excep,Net Profit,137.0,165.0,249.0,330.0,370.0,484.0,722.0
Profit for PE,Net Profit,137.0,165.0,249.0,330.0,370.0,484.0,722.0
Profit for EPS,Net Profit,137.0,165.0,233.0,305.0,370.0,486.0,722.0
Profit Growth %,Net Profit,,20.0,50.0,33.0,12.0,31.0,49.0
