,parent_line_item,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,254.0,257.0,318.0,431.0,401.0,449.0,537.0,616.0
Expenses,,51.0,55.0,67.0,67.0,64.0,72.0,84.0,96.0
Operating Profit,,203.0,202.0,251.0,364.0,336.0,377.0,454.0,520.0
OPM %,,80.0,79.0,79.0,84.0,84.0,84.0,84.0,84.0
Other Income,,40.0,40.0,38.0,61.0,86.0,112.0,135.0,151.0
Interest,,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0
Depreciation,,10.0,15.0,17.0,17.0,19.0,20.0,21.0,23.0
Profit before tax,,232.0,226.0,270.0,405.0,402.0,466.0,565.0,646.0
Tax %,,29.0,22.0,24.0,24.0,24.0,25.0,24.0,24.0
Net Profit,,165.0,176.0,205.0,309.0,306.0,351.0,429.0,493.0
EPS in Rs,,1.81,1.96,2.29,3.44,3.43,3.93,4.81,5.53
Dividend Payout %,,0.0,42.0,58.0,58.0,29.0,63.0,62.0,63.0
Sales Growth %,Sales,,1.2,23.61,35.61,-7.0,12.05,19.62,14.59
Manufacturing Cost %,Expenses,0.91,0.68,0.44,0.43,2.05,2.56,2.43,0.0
Employee Cost %,Expenses,9.92,13.13,14.27,9.83,8.78,8.82,8.72,7.96
Other Cost %,Expenses,9.31,7.56,6.44,5.37,5.23,4.7,4.41,7.57
Exceptional items,Other Income,17.0,13.0,7.0,18.0,21.0,21.0,0.0,0.0
Other income normal,Other Income,23.0,28.0,32.0,42.0,65.0,92.0,135.0,151.0
Minority share,Net Profit,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Exceptional items AT,Net Profit,12.0,10.0,5.0,14.0,16.0,15.0,0.0,0.0
Profit excl Excep,Net Profit,153.0,166.0,200.0,295.0,290.0,335.0,429.0,493.0
Profit for PE,Net Profit,153.0,166.0,201.0,295.0,290.0,335.0,429.0,493.0
Profit for EPS,Net Profit,165.0,176.0,206.0,309.0,306.0,351.0,429.0,493.0
Profit Growth %,Net Profit,,8.0,21.0,47.0,-2.0,16.0,28.0,15.0
