,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,933.0,870.0,758.0,841.0,1295.0,1361.0,2217.0,2520.0,2420.0
Expenses,,491.0,461.0,432.0,487.0,749.0,886.0,1284.0,1405.0,1572.0
Operating Profit,,441.0,409.0,326.0,354.0,546.0,475.0,933.0,1115.0,848.0
OPM %,,47.0,47.0,43.0,42.0,42.0,35.0,42.0,44.0,35.0
Other Income,,14.0,6.0,134.0,27.0,22.0,10.0,14.0,48.0,183.0
Interest,,145.0,115.0,103.0,50.0,102.0,77.0,150.0,183.0,210.0
Depreciation,,37.0,42.0,55.0,46.0,63.0,67.0,114.0,55.0,65.0
Profit before tax,,274.0,258.0,301.0,285.0,402.0,341.0,683.0,925.0,756.0
Tax %,,34.0,34.0,22.0,23.0,24.0,27.0,25.0,23.0,25.0
Net Profit,,181.0,171.0,234.0,220.0,306.0,250.0,513.0,713.0,564.0
EPS in Rs,,96.47,91.58,7.32,7.27,10.07,8.19,16.64,22.98,18.02
Dividend Payout %,,0.0,0.0,27.0,14.0,30.0,37.0,18.0,13.0,17.0
Sales Growth %,Sales,,-6.74,-12.88,10.92,54.01,5.11,62.93,13.66,-3.96
Manufacturing Cost %,Expenses,11.84,10.42,11.41,14.16,16.36,20.23,21.62,19.82,0.0
Employee Cost %,Expenses,22.63,29.52,29.25,25.2,25.08,26.36,20.64,23.47,28.41
Other Cost %,Expenses,18.23,13.01,16.33,18.54,16.38,18.51,15.67,12.47,36.55
Exceptional items,Other Income,1.0,1.0,104.0,7.0,11.0,3.0,7.0,44.0,0.0
Other income normal,Other Income,13.0,5.0,30.0,20.0,11.0,7.0,7.0,3.0,183.0
Minority share,Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-2.0
Exceptional items AT,Net Profit,0.0,0.0,81.0,5.0,8.0,2.0,5.0,34.0,0.0
Profit excl Excep,Net Profit,180.0,171.0,153.0,215.0,298.0,248.0,508.0,679.0,564.0
Profit for PE,Net Profit,180.0,171.0,153.0,215.0,298.0,248.0,507.0,678.0,561.0
Profit for EPS,Net Profit,181.0,171.0,234.0,220.0,306.0,250.0,512.0,712.0,561.0
Profit Growth %,Net Profit,,-5.0,-10.0,41.0,38.0,-17.0,104.0,34.0,-17.0
