,parent_line_item,Sep 2014,Sep 2015,Sep 2016,Sep 2017,Sep 2018,Sep 2019,Sep 2020,Sep 2021,Sep 2022,Sep 2023,Sep 2024
Sales,,10678.0,10563.0,10837.0,11065.0,12795.0,13084.0,9946.0,13198.0,16138.0,19554.0,15146.0
Expenses,,10559.0,9565.0,9815.0,10008.0,11468.0,11594.0,8944.0,11746.0,14278.0,17067.0,13087.0
Operating Profit,,119.0,998.0,1021.0,1056.0,1327.0,1490.0,1003.0,1452.0,1860.0,2487.0,2059.0
OPM %,,1.1,9.0,9.0,10.0,10.0,11.0,10.0,11.0,12.0,13.0,14.0
Other Income,,985.0,943.0,3156.0,818.0,280.0,398.0,315.0,321.0,487.0,496.0,1633.0
Interest,,31.0,30.0,11.0,8.0,8.0,12.0,30.0,24.0,36.0,23.0,70.0
Depreciation,,229.0,224.0,228.0,198.0,198.0,199.0,252.0,297.0,317.0,321.0,246.0
Profit before tax,,844.0,1688.0,3938.0,1669.0,1402.0,1678.0,1036.0,1452.0,1993.0,2640.0,3375.0
Tax %,,28.0,30.0,26.0,32.0,36.0,34.0,26.0,25.0,23.0,26.0,19.0
Net Profit,,603.0,1174.0,2914.0,1137.0,901.0,1099.0,769.0,1089.0,1543.0,1962.0,2718.0
EPS in Rs,,16.94,32.98,81.82,31.92,25.31,30.87,21.58,30.57,43.33,55.07,76.29
Dividend Payout %,,35.0,30.0,41.0,22.0,28.0,23.0,32.0,26.0,23.0,18.0,16.0
Sales Growth %,Sales,,-1.0,3.0,2.0,16.0,2.0,-24.0,33.0,22.0,21.0,-23.0
Material Cost %,Expenses,46.0,48.0,49.0,48.0,45.0,43.0,41.0,47.0,49.0,49.0,63.0
Manufacturing Cost %,Expenses,26.0,21.0,18.0,20.0,24.0,26.0,25.0,22.0,20.0,20.0,8.0
Employee Cost %,Expenses,13.0,13.0,13.0,13.0,11.0,12.0,16.0,12.0,11.0,10.0,9.0
Other Cost %,Expenses,14.0,9.0,10.0,9.0,9.0,8.0,9.0,7.0,8.0,8.0,6.0
Exceptional items,Other Income,469.0,802.0,2992.0,565.0,1.0,50.0,0.0,61.0,304.0,28.0,1043.0
Other income normal,Other Income,516.0,141.0,164.0,253.0,279.0,348.0,315.0,260.0,182.0,469.0,590.0
Minority share,Net Profit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-1.0,-2.0
Exceptional items AT,Net Profit,335.0,558.0,2213.0,385.0,1.0,33.0,0.0,2.0,18.0,20.0,343.0
Profit excl Excep,Net Profit,268.0,616.0,700.0,752.0,901.0,1066.0,768.0,1087.0,1525.0,1942.0,2375.0
Profit for PE,Net Profit,268.0,616.0,700.0,752.0,901.0,1066.0,768.0,1087.0,1525.0,1941.0,2374.0
Profit for EPS,Net Profit,603.0,1174.0,2914.0,1137.0,901.0,1099.0,769.0,1089.0,1543.0,1961.0,2717.0
Profit Growth %,Net Profit,,130.0,14.0,7.0,20.0,18.0,-28.0,41.0,40.0,27.0,22.0
