,parent_line_item,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,4590.0,4254.0,4697.0,6662.0,4985.0,4584.0,4811.0,4889.0,4639.0,4826.0,4462.0
Expenses,,4326.0,4011.0,4414.0,6325.0,4780.0,4281.0,4560.0,4515.0,4379.0,4519.0,4324.0
Operating Profit,,264.0,243.0,283.0,338.0,205.0,303.0,250.0,375.0,260.0,307.0,138.0
OPM %,,6.0,6.0,6.0,5.0,4.0,7.0,5.0,8.0,6.0,6.0,3.0
Other Income,,46.0,30.0,-26.0,65.0,46.0,95.0,55.0,46.0,82.0,76.0,-29.0
Interest,,108.0,80.0,59.0,118.0,171.0,76.0,70.0,44.0,63.0,70.0,56.0
Depreciation,,27.0,30.0,34.0,44.0,74.0,75.0,69.0,74.0,110.0,144.0,142.0
Profit before tax,,174.0,163.0,164.0,241.0,7.0,246.0,166.0,303.0,168.0,170.0,-89.0
Tax %,,38.0,37.0,49.0,36.0,244.0,23.0,25.0,29.0,22.0,21.0,2.0
Net Profit,,108.0,102.0,84.0,154.0,-10.0,189.0,124.0,216.0,131.0,133.0,-91.0
EPS in Rs,,9.62,9.08,7.39,13.76,-0.82,16.64,11.19,18.78,11.38,11.57,-7.87
Dividend Payout %,,26.0,28.0,43.0,23.0,0.0,0.0,27.0,21.0,26.0,26.0,-38.0
Sales Growth %,Sales,,-7.33,10.4,41.86,-25.17,-8.05,4.95,1.64,-5.12,4.04,-7.54
Material Cost %,Expenses,67.0,65.0,66.0,71.0,67.0,65.0,68.0,69.0,70.0,68.0,68.0
Manufacturing Cost %,Expenses,7.0,8.0,8.0,8.0,8.0,7.0,5.0,2.0,2.0,3.0,0.0
Employee Cost %,Expenses,6.0,8.0,7.0,5.0,8.0,9.0,8.0,7.0,8.0,8.0,9.0
Other Cost %,Expenses,13.0,13.0,13.0,11.0,13.0,13.0,13.0,14.0,14.0,15.0,20.0
Exceptional items,Other Income,0.0,2.0,-77.0,-0.0,0.0,48.0,-2.0,7.0,-2.0,29.0,-91.0
Other income normal,Other Income,45.0,29.0,52.0,65.0,46.0,47.0,57.0,39.0,83.0,47.0,62.0
Minority share,Net Profit,0.0,0.0,0.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0
Exceptional items AT,Net Profit,0.0,1.0,-30.0,-0.0,-0.0,37.0,-2.0,4.0,2.0,21.0,-73.0
Profit excl Excep,Net Profit,108.0,101.0,114.0,154.0,-10.0,152.0,126.0,212.0,129.0,113.0,-18.0
Profit for PE,Net Profit,108.0,101.0,114.0,157.0,-9.0,154.0,130.0,212.0,129.0,113.0,-18.0
Profit for EPS,Net Profit,108.0,102.0,84.0,156.0,-9.0,191.0,129.0,216.0,131.0,133.0,-91.0
Profit Growth %,Net Profit,,-6.0,12.0,38.0,-106.0,1823.0,-15.0,63.0,-39.0,-13.0,-116.0
