,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,4080.0,4479.0,4520.0,4804.0,5394.0,6870.0,7313.0,7864.0,8096.0
Expenses,,3549.0,3895.0,3921.0,4083.0,4625.0,6099.0,6599.0,6963.0,7268.0
Operating Profit,,531.0,584.0,599.0,720.0,769.0,770.0,714.0,901.0,827.0
OPM %,,13.0,13.0,13.0,15.0,14.0,11.0,10.0,11.0,10.0
Other Income,,31.0,48.0,59.0,76.0,60.0,67.0,67.0,68.0,-691.0
Interest,,64.0,60.0,41.0,43.0,35.0,109.0,79.0,60.0,44.0
Depreciation,,13.0,13.0,27.0,30.0,42.0,116.0,129.0,153.0,172.0
Profit before tax,,485.0,560.0,591.0,724.0,752.0,612.0,573.0,756.0,-79.0
Tax %,,33.0,28.0,16.0,15.0,23.0,22.0,23.0,25.0,191.0
Net Profit,,324.0,401.0,496.0,617.0,578.0,476.0,442.0,564.0,-231.0
EPS in Rs,,5.17,6.4,7.91,9.82,9.13,7.28,6.84,8.64,-3.76
Dividend Payout %,,34.0,31.0,-0.0,56.0,27.0,41.0,44.0,35.0,-80.0
Sales Growth %,Sales,,9.79,0.92,6.27,12.3,27.35,6.45,7.54,2.94
Material Cost %,Expenses,69.0,69.0,68.0,68.0,69.0,68.0,68.0,67.0,68.0
Manufacturing Cost %,Expenses,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
Employee Cost %,Expenses,7.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,8.0
Other Cost %,Expenses,9.0,9.0,10.0,8.0,9.0,11.0,12.0,12.0,12.0
Exceptional items,Other Income,0.0,0.0,0.0,27.0,10.0,0.0,0.0,0.0,-756.0
Other income normal,Other Income,31.0,48.0,59.0,49.0,49.0,67.0,67.0,68.0,66.0
Minority share,Net Profit,0.0,0.0,0.0,0.0,0.0,-13.0,-2.0,-8.0,-11.0
Exceptional items AT,Net Profit,0.0,0.0,0.0,19.0,8.0,0.0,0.0,0.0,-578.0
Profit excl Excep,Net Profit,324.0,401.0,496.0,597.0,570.0,476.0,442.0,564.0,347.0
Profit for PE,Net Profit,324.0,401.0,496.0,597.0,570.0,463.0,440.0,556.0,335.0
Profit for EPS,Net Profit,324.0,401.0,496.0,617.0,578.0,463.0,440.0,556.0,-242.0
Profit Growth %,Net Profit,,24.0,24.0,20.0,-4.0,-19.0,-5.0,26.0,-40.0
