,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue,,7305.0,6587.0,7233.0,8613.0,9413.0,9846.0
Interest,,4899.0,4347.0,4221.0,5281.0,5928.0,6409.0
Expenses,,3549.0,3282.0,2627.0,3227.0,3440.0,3490.0
Financing Profit,,-1143.0,-1042.0,385.0,105.0,46.0,-52.0
Financing Margin %,,-16.0,-16.0,5.0,1.0,0.0,-1.0
Other Income,,1229.0,1034.0,811.0,1515.0,1813.0,2009.0
Depreciation,,0.0,84.0,87.0,90.0,102.0,0.0
Profit before tax,,87.0,-92.0,1108.0,1529.0,1757.0,1957.0
Tax %,,29.0,-149.0,30.0,30.0,26.0,26.0
Net Profit,,62.0,45.0,775.0,1070.0,1303.0,1456.0
EPS in Rs,,0.24,0.17,2.96,4.09,4.98,5.56
Dividend Payout %,,0.0,0.0,8.0,7.0,8.0,8.0
Manufacturing Cost %,Expenses,0.0,0.77,0.9,0.96,0.97,0.0
Employee Cost %,Expenses,16.9,18.22,18.12,19.84,17.78,16.79
Other Cost %,Expenses,31.69,30.83,17.31,16.67,17.79,18.65
Exceptional items,Other Income,-0.0,0.0,-0.0,-0.0,-2.0,-0.0
Other income normal,Other Income,1229.0,1034.0,811.0,1515.0,1815.0,2009.0
Exceptional items AT,Net Profit,-0.0,0.0,-0.0,-0.0,-2.0,-0.0
Profit excl Excep,Net Profit,62.0,45.0,775.0,1070.0,1305.0,1456.0
Profit for PE,Net Profit,62.0,45.0,775.0,1070.0,1305.0,1456.0
Profit for EPS,Net Profit,62.0,45.0,775.0,1070.0,1303.0,1456.0
Profit Growth %,Net Profit,,-28.0,1636.0,38.0,22.0,12.0
