,parent_line_item,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Sales,,3392.0,3298.0,3370.0,3584.0,3905.0,3877.0,2997.0,4192.0,4774.0,5075.0,5365.0,5722.0
Expenses,,2675.0,2397.0,2369.0,2551.0,2834.0,2723.0,2183.0,3125.0,3663.0,3877.0,4086.0,4374.0
Operating Profit,,718.0,901.0,1001.0,1033.0,1071.0,1154.0,814.0,1067.0,1111.0,1198.0,1278.0,1348.0
OPM %,,21.0,27.0,30.0,29.0,27.0,30.0,27.0,25.0,23.0,24.0,24.0,24.0
Other Income,,47.0,90.0,86.0,84.0,84.0,64.0,62.0,47.0,67.0,83.0,88.0,45.0
Interest,,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,8.0,9.0,9.0
Depreciation,,36.0,39.0,45.0,46.0,56.0,70.0,87.0,83.0,81.0,92.0,100.0,101.0
Profit before tax,,726.0,951.0,1040.0,1070.0,1098.0,1147.0,785.0,1029.0,1093.0,1181.0,1258.0,1282.0
Tax %,,35.0,35.0,36.0,35.0,36.0,28.0,26.0,26.0,25.0,27.0,26.0,26.0
Net Profit,,475.0,615.0,670.0,692.0,708.0,827.0,583.0,758.0,815.0,864.0,927.0,950.0
EPS in Rs,,4.8,6.22,6.78,6.99,7.16,8.36,5.89,7.66,8.24,8.74,9.37,9.6
Dividend Payout %,,78.0,72.0,81.0,100.0,70.0,66.0,93.0,72.0,79.0,86.0,149.0,91.0
Sales Growth %,Sales,6.69,-2.78,2.19,6.35,8.93,-0.71,-22.7,39.88,13.89,6.29,5.72,6.65
Material Cost %,Expenses,57.0,49.0,45.0,46.0,49.0,45.0,42.0,49.0,52.0,52.0,51.0,51.0
Manufacturing Cost %,Expenses,5.0,5.0,5.0,5.0,6.0,6.0,7.0,6.0,5.0,5.0,5.0,5.0
Employee Cost %,Expenses,5.0,5.0,5.0,5.0,5.0,6.0,7.0,6.0,6.0,6.0,6.0,5.0
Other Cost %,Expenses,12.0,14.0,14.0,14.0,13.0,14.0,17.0,14.0,14.0,14.0,14.0,15.0
Exceptional items,Other Income,-1.0,-6.0,10.0,18.0,0.0,-1.0,-0.0,-1.0,7.0,16.0,10.0,-11.0
Other income normal,Other Income,48.0,96.0,76.0,66.0,84.0,65.0,62.0,48.0,60.0,67.0,79.0,56.0
Exceptional items AT,Net Profit,-1.0,-4.0,6.0,11.0,0.0,-0.0,-0.0,-1.0,5.0,12.0,7.0,-8.0
Profit excl Excep,Net Profit,475.0,619.0,664.0,680.0,708.0,828.0,583.0,759.0,810.0,853.0,920.0,958.0
Profit for PE,Net Profit,475.0,619.0,664.0,680.0,708.0,828.0,583.0,759.0,810.0,853.0,920.0,958.0
Profit for EPS,Net Profit,475.0,615.0,670.0,692.0,708.0,827.0,583.0,758.0,815.0,864.0,927.0,950.0
Profit Growth %,Net Profit,-4.0,30.0,7.0,2.0,4.0,17.0,-30.0,30.0,7.0,5.0,8.0,4.0
