,parent_line_item,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,0.0,1200.0,1945.0,1853.0,2115.0,1819.0
Expenses,,0.0,993.0,1603.0,1467.0,1651.0,1450.0
Operating Profit,,0.0,207.0,342.0,386.0,464.0,369.0
OPM %,,17.0,18.0,21.0,22.0,20.0,
Other Income,,0.0,3.0,2.0,5.0,10.0,15.0
Interest,,0.0,12.0,21.0,17.0,27.0,47.0
Depreciation,,0.0,42.0,63.0,73.0,87.0,104.0
Profit before tax,,0.0,155.0,261.0,300.0,361.0,233.0
Tax %,,21.0,26.0,28.0,24.0,25.0,
Net Profit,,0.0,122.0,193.0,217.0,272.0,175.0
EPS in Rs,,21.35,23.93,30.05,19.27,,
Dividend Payout %,,0.0,9.0,13.0,17.0,18.0,
Sales Growth %,Sales,,,62.11,-4.76,14.17,-13.98
Material Cost %,Expenses,,53.14,60.13,55.1,53.33,45.88
Manufacturing Cost %,Expenses,,20.17,8.67,10.85,9.92,0.0
Employee Cost %,Expenses,,7.1,6.67,7.48,7.67,9.51
Other Cost %,Expenses,,2.34,6.94,5.74,7.13,24.31
Exceptional items,Other Income,-0.0,0.02,0.08,0.57,0.01,-2.79
Other income normal,Other Income,-0.0,2.49,2.24,4.33,10.11,17.74
Exceptional items AT,Net Profit,0.0,0.0,0.0,0.0,0.0,-2.0
Profit excl Excep,Net Profit,0.0,122.0,193.0,216.0,272.0,177.0
Profit for PE,Net Profit,0.0,122.0,193.0,216.0,272.0,177.0
Profit for EPS,Net Profit,0.0,122.0,193.0,217.0,272.0,175.0
Profit Growth %,Net Profit,,,58.0,12.0,26.0,-35.0
